:START_ID(disease)|:END_ID(second_level_departments)|type:STRING|name:STRING
100|20873|所属科室|所属科室
1391|20908|所属科室|所属科室
6246|20873|所属科室|所属科室
6951|20882|所属科室|所属科室
7540|20865|所属科室|所属科室
1624|20862|所属科室|所属科室
2684|20882|所属科室|所属科室
5674|20865|所属科室|所属科室
7860|20906|所属科室|所属科室
2971|20897|所属科室|所属科室
2721|20908|所属科室|所属科室
8020|20893|所属科室|所属科室
8405|20867|所属科室|所属科室
632|20879|所属科室|所属科室
884|20887|所属科室|所属科室
7868|20865|所属科室|所属科室
8346|20887|所属科室|所属科室
8035|20897|所属科室|所属科室
3777|20905|所属科室|所属科室
5435|20897|所属科室|所属科室
6252|20869|所属科室|所属科室
1970|20907|所属科室|所属科室
2991|20884|所属科室|所属科室
6565|20887|所属科室|所属科室
138|20899|所属科室|所属科室
7872|20906|所属科室|所属科室
6195|20905|所属科室|所属科室
3997|20912|所属科室|所属科室
5909|20865|所属科室|所属科室
6800|20884|所属科室|所属科室
7449|20897|所属科室|所属科室
482|20867|所属科室|所属科室
4477|20897|所属科室|所属科室
4497|20864|所属科室|所属科室
3336|20864|所属科室|所属科室
2956|20897|所属科室|所属科室
4091|20904|所属科室|所属科室
8442|20892|所属科室|所属科室
5976|20868|所属科室|所属科室
3804|20872|所属科室|所属科室
87|20864|所属科室|所属科室
6757|20881|所属科室|所属科室
2888|20869|所属科室|所属科室
6755|20897|所属科室|所属科室
7825|20882|所属科室|所属科室
644|20880|所属科室|所属科室
1275|20867|所属科室|所属科室
3616|20905|所属科室|所属科室
8278|20865|所属科室|所属科室
1645|20887|所属科室|所属科室
3214|20869|所属科室|所属科室
2954|20907|所属科室|所属科室
8357|20887|所属科室|所属科室
3817|20878|所属科室|所属科室
6044|20899|所属科室|所属科室
7290|20897|所属科室|所属科室
4915|20905|所属科室|所属科室
8377|20884|所属科室|所属科室
6324|20906|所属科室|所属科室
4797|20897|所属科室|所属科室
2205|20866|所属科室|所属科室
108|20884|所属科室|所属科室
1068|20892|所属科室|所属科室
4482|20897|所属科室|所属科室
2899|20897|所属科室|所属科室
8403|20872|所属科室|所属科室
1526|20883|所属科室|所属科室
243|20873|所属科室|所属科室
2989|20894|所属科室|所属科室
8753|20865|所属科室|所属科室
1692|20878|所属科室|所属科室
8594|20867|所属科室|所属科室
2169|20884|所属科室|所属科室
4709|20864|所属科室|所属科室
1057|20899|所属科室|所属科室
5555|20892|所属科室|所属科室
1928|20865|所属科室|所属科室
6703|20899|所属科室|所属科室
7419|20912|所属科室|所属科室
6407|20897|所属科室|所属科室
4993|20867|所属科室|所属科室
4692|20908|所属科室|所属科室
5219|20869|所属科室|所属科室
1269|20882|所属科室|所属科室
5837|20867|所属科室|所属科室
1374|20869|所属科室|所属科室
5053|20912|所属科室|所属科室
5448|20882|所属科室|所属科室
2794|20897|所属科室|所属科室
7276|20866|所属科室|所属科室
3680|20899|所属科室|所属科室
1726|20878|所属科室|所属科室
2501|20878|所属科室|所属科室
5591|20869|所属科室|所属科室
3522|20899|所属科室|所属科室
5501|20897|所属科室|所属科室
3200|20905|所属科室|所属科室
5067|20864|所属科室|所属科室
5602|20869|所属科室|所属科室
831|20909|所属科室|所属科室
1702|20878|所属科室|所属科室
6645|20897|所属科室|所属科室
5389|20882|所属科室|所属科室
796|20908|所属科室|所属科室
2471|20902|所属科室|所属科室
6869|20865|所属科室|所属科室
7476|20866|所属科室|所属科室
2550|20867|所属科室|所属科室
8282|20866|所属科室|所属科室
4419|20897|所属科室|所属科室
669|20887|所属科室|所属科室
6922|20898|所属科室|所属科室
1859|20865|所属科室|所属科室
1831|20865|所属科室|所属科室
2077|20909|所属科室|所属科室
7512|20890|所属科室|所属科室
6844|20868|所属科室|所属科室
4981|20908|所属科室|所属科室
326|20867|所属科室|所属科室
6117|20873|所属科室|所属科室
352|20882|所属科室|所属科室
7785|20866|所属科室|所属科室
7647|20899|所属科室|所属科室
2703|20907|所属科室|所属科室
4767|20882|所属科室|所属科室
674|20879|所属科室|所属科室
4570|20866|所属科室|所属科室
4196|20865|所属科室|所属科室
7548|20906|所属科室|所属科室
4953|20884|所属科室|所属科室
895|20912|所属科室|所属科室
3041|20867|所属科室|所属科室
3453|20865|所属科室|所属科室
7595|20906|所属科室|所属科室
1857|20865|所属科室|所属科室
4794|20872|所属科室|所属科室
3864|20867|所属科室|所属科室
2316|20897|所属科室|所属科室
1392|20869|所属科室|所属科室
4626|20879|所属科室|所属科室
6124|20904|所属科室|所属科室
2295|20882|所属科室|所属科室
6429|20907|所属科室|所属科室
175|20908|所属科室|所属科室
8140|20865|所属科室|所属科室
1051|20899|所属科室|所属科室
255|20887|所属科室|所属科室
2141|20903|所属科室|所属科室
6896|20897|所属科室|所属科室
8497|20879|所属科室|所属科室
7092|20878|所属科室|所属科室
7932|20869|所属科室|所属科室
428|20867|所属科室|所属科室
1510|20869|所属科室|所属科室
2760|20890|所属科室|所属科室
1393|20869|所属科室|所属科室
7884|20908|所属科室|所属科室
280|20867|所属科室|所属科室
2702|20904|所属科室|所属科室
182|20892|所属科室|所属科室
3122|20862|所属科室|所属科室
8742|20906|所属科室|所属科室
4017|20865|所属科室|所属科室
2565|20884|所属科室|所属科室
3796|20912|所属科室|所属科室
7686|20867|所属科室|所属科室
1456|20864|所属科室|所属科室
2226|20903|所属科室|所属科室
595|20867|所属科室|所属科室
2718|20899|所属科室|所属科室
4694|20878|所属科室|所属科室
6981|20882|所属科室|所属科室
3985|20908|所属科室|所属科室
7665|20866|所属科室|所属科室
883|20887|所属科室|所属科室
4897|20873|所属科室|所属科室
3721|20890|所属科室|所属科室
5315|20887|所属科室|所属科室
2832|20907|所属科室|所属科室
4180|20867|所属科室|所属科室
798|20908|所属科室|所属科室
6525|20899|所属科室|所属科室
1564|20897|所属科室|所属科室
4532|20864|所属科室|所属科室
4645|20897|所属科室|所属科室
8414|20869|所属科室|所属科室
7851|20865|所属科室|所属科室
4170|20908|所属科室|所属科室
630|20879|所属科室|所属科室
4582|20872|所属科室|所属科室
4432|20908|所属科室|所属科室
7481|20869|所属科室|所属科室
1136|20890|所属科室|所属科室
6519|20895|所属科室|所属科室
8145|20867|所属科室|所属科室
5826|20897|所属科室|所属科室
8180|20898|所属科室|所属科室
3|20884|所属科室|所属科室
4203|20907|所属科室|所属科室
430|20867|所属科室|所属科室
1290|20869|所属科室|所属科室
8426|20906|所属科室|所属科室
3585|20867|所属科室|所属科室
6711|20898|所属科室|所属科室
7370|20907|所属科室|所属科室
8156|20906|所属科室|所属科室
485|20904|所属科室|所属科室
6333|20882|所属科室|所属科室
4852|20879|所属科室|所属科室
4211|20878|所属科室|所属科室
7587|20888|所属科室|所属科室
21|20884|所属科室|所属科室
2068|20909|所属科室|所属科室
7635|20912|所属科室|所属科室
2056|20909|所属科室|所属科室
3849|20907|所属科室|所属科室
6232|20865|所属科室|所属科室
2445|20878|所属科室|所属科室
827|20904|所属科室|所属科室
2106|20909|所属科室|所属科室
3518|20910|所属科室|所属科室
4149|20869|所属科室|所属科室
6977|20882|所属科室|所属科室
1353|20887|所属科室|所属科室
2305|20904|所属科室|所属科室
3896|20905|所属科室|所属科室
2598|20908|所属科室|所属科室
6639|20912|所属科室|所属科室
7768|20906|所属科室|所属科室
4719|20864|所属科室|所属科室
5161|20907|所属科室|所属科室
6728|20912|所属科室|所属科室
297|20867|所属科室|所属科室
5626|20866|所属科室|所属科室
7769|20868|所属科室|所属科室
6398|20908|所属科室|所属科室
441|20873|所属科室|所属科室
5333|20912|所属科室|所属科室
5984|20912|所属科室|所属科室
7869|20869|所属科室|所属科室
5406|20864|所属科室|所属科室
2366|20887|所属科室|所属科室
8410|20906|所属科室|所属科室
7993|20897|所属科室|所属科室
8643|20893|所属科室|所属科室
8284|20899|所属科室|所属科室
6134|20912|所属科室|所属科室
3619|20899|所属科室|所属科室
4643|20864|所属科室|所属科室
7861|20887|所属科室|所属科室
8230|20906|所属科室|所属科室
457|20892|所属科室|所属科室
6418|20909|所属科室|所属科室
6702|20865|所属科室|所属科室
2681|20873|所属科室|所属科室
4663|20878|所属科室|所属科室
8386|20887|所属科室|所属科室
2976|20908|所属科室|所属科室
7887|20869|所属科室|所属科室
688|20879|所属科室|所属科室
7352|20869|所属科室|所属科室
8177|20898|所属科室|所属科室
7289|20887|所属科室|所属科室
2542|20866|所属科室|所属科室
5054|20872|所属科室|所属科室
8242|20869|所属科室|所属科室
2700|20882|所属科室|所属科室
6917|20882|所属科室|所属科室
7278|20906|所属科室|所属科室
1555|20883|所属科室|所属科室
7799|20860|所属科室|所属科室
2648|20907|所属科室|所属科室
2217|20908|所属科室|所属科室
8699|20895|所属科室|所属科室
1116|20890|所属科室|所属科室
3921|20884|所属科室|所属科室
5658|20912|所属科室|所属科室
3420|20887|所属科室|所属科室
1696|20878|所属科室|所属科室
7133|20865|所属科室|所属科室
2023|20907|所属科室|所属科室
2245|20887|所属科室|所属科室
2289|20884|所属科室|所属科室
8143|20898|所属科室|所属科室
8151|20908|所属科室|所属科室
4167|20882|所属科室|所属科室
5572|20890|所属科室|所属科室
8389|20906|所属科室|所属科室
3070|20897|所属科室|所属科室
5714|20884|所属科室|所属科室
4985|20869|所属科室|所属科室
5896|20865|所属科室|所属科室
1846|20865|所属科室|所属科室
3249|20908|所属科室|所属科室
4265|20865|所属科室|所属科室
1127|20890|所属科室|所属科室
5801|20874|所属科室|所属科室
5644|20893|所属科室|所属科室
2229|20879|所属科室|所属科室
4421|20893|所属科室|所属科室
7678|20906|所属科室|所属科室
5065|20864|所属科室|所属科室
1776|20874|所属科室|所属科室
2683|20897|所属科室|所属科室
7027|20890|所属科室|所属科室
5553|20882|所属科室|所属科室
4133|20872|所属科室|所属科室
7214|20906|所属科室|所属科室
5298|20890|所属科室|所属科室
8225|20906|所属科室|所属科室
7589|20908|所属科室|所属科室
7411|20897|所属科室|所属科室
3415|20912|所属科室|所属科室
4325|20878|所属科室|所属科室
2827|20893|所属科室|所属科室
8476|20906|所属科室|所属科室
1902|20865|所属科室|所属科室
3784|20872|所属科室|所属科室
5287|20900|所属科室|所属科室
1838|20865|所属科室|所属科室
6420|20864|所属科室|所属科室
8674|20899|所属科室|所属科室
3372|20869|所属科室|所属科室
6780|20895|所属科室|所属科室
4930|20908|所属科室|所属科室
7200|20906|所属科室|所属科室
5891|20912|所属科室|所属科室
4561|20897|所属科室|所属科室
1617|20862|所属科室|所属科室
904|20873|所属科室|所属科室
158|20882|所属科室|所属科室
996|20874|所属科室|所属科室
3831|20872|所属科室|所属科室
4802|20892|所属科室|所属科室
2426|20897|所属科室|所属科室
5915|20887|所属科室|所属科室
8234|20898|所属科室|所属科室
387|20867|所属科室|所属科室
7644|20897|所属科室|所属科室
3520|20867|所属科室|所属科室
8381|20912|所属科室|所属科室
4008|20866|所属科室|所属科室
2411|20882|所属科室|所属科室
547|20873|所属科室|所属科室
7892|20909|所属科室|所属科室
8705|20906|所属科室|所属科室
3603|20864|所属科室|所属科室
8280|20906|所属科室|所属科室
6549|20899|所属科室|所属科室
5271|20908|所属科室|所属科室
2901|20870|所属科室|所属科室
5084|20860|所属科室|所属科室
4544|20887|所属科室|所属科室
3247|20909|所属科室|所属科室
8737|20873|所属科室|所属科室
7877|20906|所属科室|所属科室
4051|20905|所属科室|所属科室
2615|20882|所属科室|所属科室
358|20867|所属科室|所属科室
7591|20897|所属科室|所属科室
5560|20866|所属科室|所属科室
3036|20869|所属科室|所属科室
3436|20872|所属科室|所属科室
5513|20866|所属科室|所属科室
7883|20906|所属科室|所属科室
4044|20897|所属科室|所属科室
4471|20872|所属科室|所属科室
195|20899|所属科室|所属科室
2473|20897|所属科室|所属科室
7502|20882|所属科室|所属科室
5895|20882|所属科室|所属科室
7342|20866|所属科室|所属科室
6851|20892|所属科室|所属科室
7562|20887|所属科室|所属科室
3308|20864|所属科室|所属科室
5941|20912|所属科室|所属科室
202|20892|所属科室|所属科室
449|20862|所属科室|所属科室
2853|20904|所属科室|所属科室
7846|20897|所属科室|所属科室
3740|20904|所属科室|所属科室
4188|20882|所属科室|所属科室
1238|20860|所属科室|所属科室
699|20908|所属科室|所属科室
4453|20897|所属科室|所属科室
5443|20864|所属科室|所属科室
6047|20878|所属科室|所属科室
5529|20884|所属科室|所属科室
2389|20867|所属科室|所属科室
4355|20860|所属科室|所属科室
2400|20878|所属科室|所属科室
1151|20890|所属科室|所属科室
4812|20872|所属科室|所属科室
3515|20866|所属科室|所属科室
979|20874|所属科室|所属科室
3925|20884|所属科室|所属科室
6079|20882|所属科室|所属科室
4549|20897|所属科室|所属科室
1463|20869|所属科室|所属科室
8652|20865|所属科室|所属科室
8210|20898|所属科室|所属科室
2998|20887|所属科室|所属科室
4577|20864|所属科室|所属科室
6782|20892|所属科室|所属科室
3216|20887|所属科室|所属科室
6602|20882|所属科室|所属科室
1969|20909|所属科室|所属科室
690|20879|所属科室|所属科室
2478|20897|所属科室|所属科室
3197|20864|所属科室|所属科室
4609|20867|所属科室|所属科室
7151|20865|所属科室|所属科室
4950|20904|所属科室|所属科室
3466|20872|所属科室|所属科室
2228|20899|所属科室|所属科室
7607|20865|所属科室|所属科室
1912|20865|所属科室|所属科室
7506|20882|所属科室|所属科室
3390|20904|所属科室|所属科室
2522|20903|所属科室|所属科室
3497|20872|所属科室|所属科室
5246|20903|所属科室|所属科室
5606|20869|所属科室|所属科室
6205|20892|所属科室|所属科室
6384|20882|所属科室|所属科室
1039|20892|所属科室|所属科室
5313|20899|所属科室|所属科室
4932|20867|所属科室|所属科室
1404|20869|所属科室|所属科室
3810|20907|所属科室|所属科室
7553|20908|所属科室|所属科室
6388|20884|所属科室|所属科室
7093|20892|所属科室|所属科室
3435|20860|所属科室|所属科室
2913|20873|所属科室|所属科室
2133|20860|所属科室|所属科室
5428|20878|所属科室|所属科室
6057|20897|所属科室|所属科室
3361|20908|所属科室|所属科室
6110|20906|所属科室|所属科室
276|20867|所属科室|所属科室
2821|20897|所属科室|所属科室
6446|20910|所属科室|所属科室
4535|20864|所属科室|所属科室
2136|20860|所属科室|所属科室
2980|20897|所属科室|所属科室
6213|20885|所属科室|所属科室
5083|20864|所属科室|所属科室
920|20912|所属科室|所属科室
111|20899|所属科室|所属科室
1815|20865|所属科室|所属科室
4490|20872|所属科室|所属科室
8774|20867|所属科室|所属科室
3180|20882|所属科室|所属科室
7048|20899|所属科室|所属科室
2691|20885|所属科室|所属科室
8469|20879|所属科室|所属科室
263|20867|所属科室|所属科室
1739|20898|所属科室|所属科室
6720|20904|所属科室|所属科室
2744|20904|所属科室|所属科室
1774|20882|所属科室|所属科室
1931|20865|所属科室|所属科室
5973|20912|所属科室|所属科室
5086|20869|所属科室|所属科室
7428|20906|所属科室|所属科室
664|20873|所属科室|所属科室
3306|20872|所属科室|所属科室
6188|20908|所属科室|所属科室
4503|20879|所属科室|所属科室
7259|20904|所属科室|所属科室
8544|20906|所属科室|所属科室
2129|20860|所属科室|所属科室
650|20895|所属科室|所属科室
5027|20912|所属科室|所属科室
586|20903|所属科室|所属科室
3159|20873|所属科室|所属科室
3388|20870|所属科室|所属科室
1484|20869|所属科室|所属科室
1896|20865|所属科室|所属科室
4856|20887|所属科室|所属科室
2531|20882|所属科室|所属科室
5392|20905|所属科室|所属科室
5672|20912|所属科室|所属科室
2513|20866|所属科室|所属科室
5734|20895|所属科室|所属科室
3456|20895|所属科室|所属科室
8617|20906|所属科室|所属科室
900|20912|所属科室|所属科室
1590|20887|所属科室|所属科室
134|20899|所属科室|所属科室
2098|20909|所属科室|所属科室
5285|20899|所属科室|所属科室
434|20867|所属科室|所属科室
3807|20869|所属科室|所属科室
3007|20908|所属科室|所属科室
5784|20893|所属科室|所属科室
7365|20912|所属科室|所属科室
6897|20899|所属科室|所属科室
2919|20887|所属科室|所属科室
8570|20909|所属科室|所属科室
3425|20893|所属科室|所属科室
94|20884|所属科室|所属科室
2307|20890|所属科室|所属科室
3292|20905|所属科室|所属科室
331|20903|所属科室|所属科室
4530|20905|所属科室|所属科室
66|20892|所属科室|所属科室
718|20869|所属科室|所属科室
3568|20872|所属科室|所属科室
7250|20869|所属科室|所属科室
4144|20908|所属科室|所属科室
6373|20879|所属科室|所属科室
7195|20906|所属科室|所属科室
1475|20869|所属科室|所属科室
8055|20906|所属科室|所属科室
4594|20865|所属科室|所属科室
6901|20887|所属科室|所属科室
1262|20868|所属科室|所属科室
7756|20866|所属科室|所属科室
4987|20860|所属科室|所属科室
181|20899|所属科室|所属科室
2462|20873|所属科室|所属科室
5063|20887|所属科室|所属科室
3886|20864|所属科室|所属科室
3892|20864|所属科室|所属科室
6364|20862|所属科室|所属科室
5571|20867|所属科室|所属科室
4452|20872|所属科室|所属科室
1593|20862|所属科室|所属科室
7926|20906|所属科室|所属科室
3457|20872|所属科室|所属科室
8289|20870|所属科室|所属科室
7705|20897|所属科室|所属科室
3042|20882|所属科室|所属科室
431|20882|所属科室|所属科室
4046|20862|所属科室|所属科室
7158|20878|所属科室|所属科室
2057|20909|所属科室|所属科室
2291|20867|所属科室|所属科室
3874|20872|所属科室|所属科室
8127|20898|所属科室|所属科室
1344|20869|所属科室|所属科室
8061|20906|所属科室|所属科室
8036|20887|所属科室|所属科室
4183|20897|所属科室|所属科室
3484|20902|所属科室|所属科室
8510|20906|所属科室|所属科室
2708|20884|所属科室|所属科室
8655|20906|所属科室|所属科室
2633|20882|所属科室|所属科室
7497|20867|所属科室|所属科室
8373|20866|所属科室|所属科室
7513|20904|所属科室|所属科室
6971|20884|所属科室|所属科室
7443|20906|所属科室|所属科室
6834|20865|所属科室|所属科室
4457|20862|所属科室|所属科室
924|20879|所属科室|所属科室
4063|20909|所属科室|所属科室
5446|20905|所属科室|所属科室
3942|20865|所属科室|所属科室
228|20867|所属科室|所属科室
1735|20898|所属科室|所属科室
4494|20897|所属科室|所属科室
131|20892|所属科室|所属科室
4244|20899|所属科室|所属科室
3622|20882|所属科室|所属科室
2704|20869|所属科室|所属科室
2797|20897|所属科室|所属科室
4229|20862|所属科室|所属科室
7930|20906|所属科室|所属科室
4616|20905|所属科室|所属科室
976|20874|所属科室|所属科室
8582|20867|所属科室|所属科室
5430|20897|所属科室|所属科室
1323|20869|所属科室|所属科室
1447|20869|所属科室|所属科室
2148|20897|所属科室|所属科室
2161|20884|所属科室|所属科室
3788|20872|所属科室|所属科室
7643|20906|所属科室|所属科室
8044|20893|所属科室|所属科室
4978|20905|所属科室|所属科室
343|20867|所属科室|所属科室
321|20867|所属科室|所属科室
5589|20869|所属科室|所属科室
2059|20909|所属科室|所属科室
1979|20897|所属科室|所属科室
3782|20872|所属科室|所属科室
4301|20912|所属科室|所属科室
3027|20882|所属科室|所属科室
4601|20878|所属科室|所属科室
2292|20869|所属科室|所属科室
2318|20903|所属科室|所属科室
5465|20864|所属科室|所属科室
4272|20872|所属科室|所属科室
6756|20869|所属科室|所属科室
4906|20867|所属科室|所属科室
980|20874|所属科室|所属科室
3990|20872|所属科室|所属科室
92|20892|所属科室|所属科室
7442|20897|所属科室|所属科室
4198|20867|所属科室|所属科室
4593|20884|所属科室|所属科室
6529|20892|所属科室|所属科室
3094|20912|所属科室|所属科室
8621|20865|所属科室|所属科室
3377|20865|所属科室|所属科室
7549|20904|所属科室|所属科室
1680|20878|所属科室|所属科室
560|20873|所属科室|所属科室
7303|20908|所属科室|所属科室
1992|20907|所属科室|所属科室
7994|20878|所属科室|所属科室
3995|20900|所属科室|所属科室
4881|20899|所属科室|所属科室
2429|20881|所属科室|所属科室
7732|20898|所属科室|所属科室
450|20867|所属科室|所属科室
5398|20882|所属科室|所属科室
406|20867|所属科室|所属科室
4558|20869|所属科室|所属科室
5779|20908|所属科室|所属科室
5068|20866|所属科室|所属科室
2678|20866|所属科室|所属科室
4929|20867|所属科室|所属科室
2100|20909|所属科室|所属科室
6127|20899|所属科室|所属科室
1613|20887|所属科室|所属科室
2256|20890|所属科室|所属科室
6097|20859|所属科室|所属科室
4169|20872|所属科室|所属科室
5329|20897|所属科室|所属科室
2238|20899|所属科室|所属科室
2589|20866|所属科室|所属科室
6447|20884|所属科室|所属科室
7056|20873|所属科室|所属科室
3523|20872|所属科室|所属科室
480|20873|所属科室|所属科室
4654|20909|所属科室|所属科室
3478|20908|所属科室|所属科室
715|20882|所属科室|所属科室
7632|20906|所属科室|所属科室
3902|20873|所属科室|所属科室
2065|20909|所属科室|所属科室
8161|20878|所属科室|所属科室
5240|20912|所属科室|所属科室
4816|20872|所属科室|所属科室
421|20867|所属科室|所属科室
762|20908|所属科室|所属科室
4667|20897|所属科室|所属科室
1540|20866|所属科室|所属科室
313|20867|所属科室|所属科室
5834|20884|所属科室|所属科室
3851|20872|所属科室|所属科室
8168|20906|所属科室|所属科室
7529|20906|所属科室|所属科室
1398|20887|所属科室|所属科室
2538|20897|所属科室|所属科室
3506|20862|所属科室|所属科室
5799|20897|所属科室|所属科室
594|20867|所属科室|所属科室
6770|20897|所属科室|所属科室
1471|20869|所属科室|所属科室
5596|20908|所属科室|所属科室
8735|20866|所属科室|所属科室
3576|20897|所属科室|所属科室
2394|20874|所属科室|所属科室
4131|20869|所属科室|所属科室
4215|20909|所属科室|所属科室
5790|20874|所属科室|所属科室
7087|20878|所属科室|所属科室
539|20903|所属科室|所属科室
1768|20864|所属科室|所属科室
1250|20882|所属科室|所属科室
4641|20865|所属科室|所属科室
4858|20864|所属科室|所属科室
7730|20906|所属科室|所属科室
4545|20873|所属科室|所属科室
7894|20866|所属科室|所属科室
4939|20897|所属科室|所属科室
4862|20897|所属科室|所属科室
3868|20872|所属科室|所属科室
6688|20899|所属科室|所属科室
5677|20909|所属科室|所属科室
162|20892|所属科室|所属科室
3238|20864|所属科室|所属科室
8378|20906|所属科室|所属科室
