:START_ID(disease)|:END_ID(disease)|type:STRING|name:STRING
7225|88|并发症|并发症
4227|3037|并发症|并发症
8489|4927|并发症|并发症
2658|3943|并发症|并发症
4907|760|并发症|并发症
579|933|并发症|并发症
3893|25|并发症|并发症
7190|4835|并发症|并发症
5116|933|并发症|并发症
1990|1995|并发症|并发症
4554|8711|并发症|并发症
7313|8518|并发症|并发症
5536|23|并发症|并发症
7617|1840|并发症|并发症
3933|5977|并发症|并发症
4766|2502|并发症|并发症
1830|1892|并发症|并发症
1709|8734|并发症|并发症
6697|6441|并发症|并发症
8771|4603|并发症|并发症
3046|1807|并发症|并发症
736|6569|并发症|并发症
5756|195|并发症|并发症
3838|4180|并发症|并发症
1463|7846|并发症|并发症
8298|8711|并发症|并发症
4266|203|并发症|并发症
2378|4961|并发症|并发症
5331|802|并发症|并发症
1273|226|并发症|并发症
8561|1569|并发症|并发症
6739|167|并发症|并发症
3306|613|并发症|并发症
2192|4766|并发症|并发症
7547|7901|并发症|并发症
8266|1748|并发症|并发症
63|7454|并发症|并发症
6609|5628|并发症|并发症
438|1280|并发症|并发症
7768|7129|并发症|并发症
5368|5377|并发症|并发症
1063|60|并发症|并发症
5099|2229|并发症|并发症
8041|2526|并发症|并发症
3141|2182|并发症|并发症
6258|1090|并发症|并发症
2905|1346|并发症|并发症
3440|4198|并发症|并发症
3618|4283|并发症|并发症
8240|1923|并发症|并发症
3284|3270|并发症|并发症
8345|310|并发症|并发症
8125|1626|并发症|并发症
842|996|并发症|并发症
4318|1572|并发症|并发症
53|770|并发症|并发症
7464|312|并发症|并发症
1548|167|并发症|并发症
2723|825|并发症|并发症
5632|195|并发症|并发症
5040|5205|并发症|并发症
4965|936|并发症|并发症
5039|1727|并发症|并发症
1701|1678|并发症|并发症
2750|2750|并发症|并发症
523|94|并发症|并发症
308|167|并发症|并发症
6465|23|并发症|并发症
611|2246|并发症|并发症
3683|4832|并发症|并发症
8806|4599|并发症|并发症
3632|3998|并发症|并发症
8351|5076|并发症|并发症
634|619|并发症|并发症
4787|236|并发症|并发症
2416|2229|并发症|并发症
1975|25|并发症|并发症
3065|1370|并发症|并发症
2596|167|并发症|并发症
7663|8653|并发症|并发症
112|203|并发症|并发症
2950|2491|并发症|并发症
5059|1126|并发症|并发症
1618|1316|并发症|并发症
565|6079|并发症|并发症
4365|1883|并发症|并发症
7239|6934|并发症|并发症
2015|8723|并发症|并发症
6145|1803|并发症|并发症
4775|985|并发症|并发症
8591|4832|并发症|并发症
6563|1871|并发症|并发症
8351|4021|并发症|并发症
8040|3329|并发症|并发症
2210|2316|并发症|并发症
6321|1683|并发症|并发症
1485|1389|并发症|并发症
7201|1161|并发症|并发症
8468|334|并发症|并发症
8368|6446|并发症|并发症
5646|195|并发症|并发症
7049|167|并发症|并发症
2899|2884|并发症|并发症
8125|132|并发症|并发症
1153|3005|并发症|并发症
2822|6441|并发症|并发症
330|2522|并发症|并发症
9|716|并发症|并发症
8213|8387|并发症|并发症
8148|2390|并发症|并发症
6323|933|并发症|并发症
1053|2831|并发症|并发症
8125|1778|并发症|并发症
3373|1672|并发症|并发症
5507|743|并发症|并发症
6098|1168|并发症|并发症
6371|3071|并发症|并发症
5687|3582|并发症|并发症
6775|25|并发症|并发症
492|311|并发症|并发症
4217|4610|并发症|并发症
856|5596|并发症|并发症
521|563|并发症|并发症
5358|1799|并发症|并发症
8017|385|并发症|并发症
3188|1628|并发症|并发症
4277|4832|并发症|并发症
8213|4336|并发症|并发症
586|8178|并发症|并发症
71|8803|并发症|并发症
8640|177|并发症|并发症
154|195|并发症|并发症
1807|4810|并发症|并发症
2526|203|并发症|并发症
2732|1842|并发症|并发症
83|6978|并发症|并发症
4293|4283|并发症|并发症
2849|108|并发症|并发症
6329|2967|并发症|并发症
7462|1254|并发症|并发症
7251|6823|并发症|并发症
7973|7389|并发症|并发症
305|8178|并发症|并发症
4069|1221|并发症|并发症
4673|4545|并发症|并发症
6139|1198|并发症|并发症
1393|890|并发症|并发症
5858|2547|并发症|并发症
408|253|并发症|并发症
8389|779|并发症|并发症
54|8801|并发症|并发症
334|355|并发症|并发症
2062|1346|并发症|并发症
5432|3147|并发症|并发症
5860|3270|并发症|并发症
1785|138|并发症|并发症
2370|933|并发症|并发症
1517|4991|并发症|并发症
2885|7557|并发症|并发症
4896|1892|并发症|并发症
7891|1882|并发症|并发症
2112|2882|并发症|并发症
3828|1937|并发症|并发症
6891|2413|并发症|并发症
5276|3706|并发症|并发症
6031|310|并发症|并发症
6283|654|并发症|并发症
4375|291|并发症|并发症
4059|4810|并发症|并发症
7043|4832|并发症|并发症
3168|4585|并发症|并发症
5328|77|并发症|并发症
7850|3706|并发症|并发症
2416|6441|并发症|并发症
6824|9|并发症|并发症
681|3520|并发症|并发症
7187|940|并发症|并发症
8305|8420|并发症|并发症
5449|8801|并发症|并发症
6330|167|并发症|并发症
7729|3005|并发症|并发症
264|253|并发症|并发症
5116|3670|并发症|并发症
6817|770|并发症|并发症
2157|4832|并发症|并发症
1352|933|并发症|并发症
3941|603|并发症|并发症
2627|2951|并发症|并发症
3225|4610|并发症|并发症
6288|8804|并发症|并发症
6256|4952|并发症|并发症
572|7343|并发症|并发症
7497|2282|并发症|并发症
4233|4106|并发症|并发症
8073|310|并发症|并发症
4709|8178|并发症|并发症
8445|8801|并发症|并发症
5132|167|并发症|并发症
4280|2049|并发症|并发症
4767|8765|并发症|并发症
329|4198|并发症|并发症
6376|202|并发症|并发症
1728|3281|并发症|并发症
5401|372|并发症|并发症
5256|177|并发症|并发症
2790|4287|并发症|并发症
1544|2275|并发症|并发症
4439|1672|并发症|并发症
5753|3706|并发症|并发症
3098|1829|并发症|并发症
6439|1128|并发症|并发症
8208|2282|并发症|并发症
7344|933|并发症|并发症
8622|4505|并发症|并发症
1617|4855|并发症|并发症
637|644|并发症|并发症
3855|5880|并发症|并发症
7632|1317|并发症|并发症
8225|8228|并发症|并发症
1245|462|并发症|并发症
4736|5292|并发症|并发症
6661|8801|并发症|并发症
8241|8262|并发症|并发症
4970|3943|并发症|并发症
6088|8178|并发症|并发症
6519|933|并发症|并发症
516|364|并发症|并发症
2405|2471|并发症|并发症
8437|7326|并发症|并发症
763|1107|并发症|并发症
7003|5929|并发症|并发症
7951|7971|并发症|并发症
2099|8267|并发症|并发症
5460|167|并发症|并发症
1269|167|并发症|并发症
1615|5779|并发症|并发症
6327|716|并发症|并发症
7943|310|并发症|并发症
8254|1599|并发症|并发症
4763|177|并发症|并发症
5091|3632|并发症|并发症
7197|8711|并发症|并发症
6121|8055|并发症|并发症
1229|8460|并发症|并发症
3459|658|并发症|并发症
4074|40|并发症|并发症
7151|1871|并发症|并发症
5157|5977|并发症|并发症
5219|4090|并发症|并发症
1824|1871|并发症|并发症
2033|2655|并发症|并发症
6502|5400|并发症|并发症
1359|3376|并发症|并发症
1230|170|并发症|并发症
3349|815|并发症|并发症
6711|5121|并发症|并发症
834|3998|并发症|并发症
2473|2958|并发症|并发症
2196|19|并发症|并发症
3850|135|并发症|并发症
1019|1092|并发症|并发症
3372|3407|并发症|并发症
3812|1807|并发症|并发症
2555|6713|并发症|并发症
4114|654|并发症|并发症
651|643|并发症|并发症
5906|770|并发症|并发症
3047|4810|并发症|并发症
6311|3706|并发症|并发症
777|3998|并发症|并发症
1784|4719|并发症|并发症
395|933|并发症|并发症
8148|8489|并发症|并发症
2432|7958|并发症|并发症
8482|6010|并发症|并发症
1542|933|并发症|并发症
94|25|并发症|并发症
2066|5092|并发症|并发症
7912|202|并发症|并发症
2878|643|并发症|并发症
6013|3894|并发症|并发症
1053|23|并发症|并发症
1408|4011|并发症|并发症
3307|1599|并发症|并发症
3390|1729|并发症|并发症
206|1712|并发症|并发症
4810|4070|并发症|并发症
7223|2569|并发症|并发症
8268|747|并发症|并发症
8085|202|并发症|并发症
4132|5107|并发症|并发症
3978|643|并发症|并发症
981|1049|并发症|并发症
3203|6504|并发症|并发症
80|2310|并发症|并发症
2064|1961|并发症|并发症
7730|8769|并发症|并发症
8565|939|并发症|并发症
6338|5140|并发症|并发症
7107|7708|并发症|并发症
5461|2249|并发症|并发症
6166|770|并发症|并发症
7215|1871|并发症|并发症
5604|8711|并发症|并发症
5646|6934|并发症|并发症
171|551|并发症|并发症
60|8563|并发症|并发症
1566|815|并发症|并发症
4990|3811|并发症|并发症
101|8801|并发症|并发症
8428|3409|并发症|并发症
2488|854|并发症|并发症
1553|2229|并发症|并发症
3541|8779|并发症|并发症
150|544|并发症|并发症
5504|1325|并发症|并发症
8143|366|并发症|并发症
2409|1634|并发症|并发症
180|8801|并发症|并发症
6226|6238|并发症|并发症
7484|1572|并发症|并发症
7500|107|并发症|并发症
240|4788|并发症|并发症
3729|6998|并发症|并发症
5771|2528|并发症|并发症
588|6744|并发症|并发症
919|8712|并发症|并发症
6124|2502|并发症|并发症
7186|488|并发症|并发症
5133|4254|并发症|并发症
7361|4810|并发症|并发症
4725|2967|并发症|并发症
5204|1616|并发症|并发症
2680|2407|并发症|并发症
1386|2249|并发症|并发症
7607|5931|并发症|并发症
1879|1788|并发症|并发症
3368|3037|并发症|并发症
5606|6656|并发症|并发症
8795|4991|并发症|并发症
4047|1803|并发症|并发症
8738|2690|并发症|并发症
2781|949|并发症|并发症
4656|4198|并发症|并发症
5487|2812|并发症|并发症
5507|1135|并发症|并发症
5810|1458|并发症|并发症
1084|640|并发症|并发症
1040|4111|并发症|并发症
5153|6934|并发症|并发症
4102|1753|并发症|并发症
5643|138|并发症|并发症
8059|3147|并发症|并发症
5381|8801|并发症|并发症
4309|138|并发症|并发症
399|19|并发症|并发症
8289|1758|并发症|并发症
2390|815|并发症|并发症
1566|8711|并发症|并发症
1810|1892|并发症|并发症
504|3522|并发症|并发症
3941|3409|并发症|并发症
8604|461|并发症|并发症
1597|1893|并发症|并发症
1044|8411|并发症|并发症
1250|258|并发症|并发症
2057|4128|并发症|并发症
7903|6934|并发症|并发症
1829|4832|并发症|并发症
282|8335|并发症|并发症
4300|1996|并发症|并发症
250|6441|并发症|并发症
7341|4473|并发症|并发症
7605|2958|并发症|并发症
6347|373|并发症|并发症
2164|7326|并发症|并发症
5184|4733|并发症|并发症
1070|19|并发症|并发症
4850|40|并发症|并发症
6735|637|并发症|并发症
714|333|并发症|并发症
4531|3284|并发症|并发症
4975|1875|并发症|并发症
1015|3053|并发症|并发症
7014|3998|并发症|并发症
1273|240|并发症|并发症
5833|2641|并发症|并发症
4164|394|并发症|并发症
4048|1885|并发症|并发症
5801|107|并发症|并发症
6670|40|并发症|并发症
3923|146|并发症|并发症
6995|258|并发症|并发症
7619|1317|并发症|并发症
8287|2959|并发症|并发症
7962|2229|并发症|并发症
4851|40|并发症|并发症
1708|208|并发症|并发症
1101|5608|并发症|并发症
3409|3366|并发症|并发症
7641|152|并发症|并发症
7630|1626|并发症|并发症
2302|258|并发症|并发症
6949|643|并发症|并发症
7184|7164|并发症|并发症
3050|3072|并发症|并发症
3615|195|并发症|并发症
325|1187|并发症|并发症
7774|5685|并发症|并发症
1763|8765|并发症|并发症
6879|156|并发症|并发症
2375|854|并发症|并发症
3487|4439|并发症|并发症
2180|2620|并发症|并发症
8159|6507|并发症|并发症
2229|138|并发症|并发症
5291|3284|并发症|并发症
5979|933|并发症|并发症
2398|770|并发症|并发症
7486|1957|并发症|并发症
1758|310|并发症|并发症
3979|21|并发症|并发症
5518|640|并发症|并发症
8125|807|并发症|并发症
6384|927|并发症|并发症
2873|195|并发症|并发症
1744|2708|并发症|并发症
2471|8178|并发症|并发症
8074|5779|并发症|并发症
1836|787|并发症|并发症
2465|1198|并发症|并发症
6642|167|并发症|并发症
7578|7134|并发症|并发症
6208|180|并发症|并发症
4195|7774|并发症|并发症
2342|1126|并发症|并发症
6948|1892|并发症|并发症
7377|8801|并发症|并发症
5994|2898|并发症|并发症
5880|5977|并发症|并发症
4950|2967|并发症|并发症
4766|1631|并发症|并发症
7043|927|并发症|并发症
6194|7357|并发症|并发症
6246|716|并发症|并发症
222|142|并发症|并发症
8196|1748|并发症|并发症
6064|4018|并发症|并发症
7907|7872|并发症|并发症
8339|3632|并发症|并发症
1159|3998|并发症|并发症
8749|3409|并发症|并发症
4418|1136|并发症|并发症
2737|3147|并发症|并发症
1976|1963|并发症|并发症
3808|3977|并发症|并发症
1543|167|并发症|并发症
4187|2569|并发症|并发症
1194|1885|并发症|并发症
3482|2207|并发症|并发症
5200|712|并发症|并发症
1743|1124|并发症|并发症
3661|1429|并发症|并发症
3099|3113|并发症|并发症
4947|3991|并发症|并发症
8743|4102|并发症|并发症
7985|770|并发症|并发症
3577|3178|并发症|并发症
3489|310|并发症|并发症
4867|1238|并发症|并发症
8661|40|并发症|并发症
4266|636|并发症|并发症
7043|8779|并发症|并发症
3934|21|并发症|并发症
5420|2192|并发症|并发症
508|933|并发症|并发症
1767|2971|并发症|并发症
2760|1389|并发症|并发症
7883|770|并发症|并发症
2840|2510|并发症|并发症
5273|5455|并发症|并发症
6096|555|并发症|并发症
7948|258|并发症|并发症
6882|7872|并发症|并发症
2098|1642|并发症|并发症
2236|3409|并发症|并发症
5368|739|并发症|并发症
19|6978|并发症|并发症
2841|1223|并发症|并发症
6800|966|并发症|并发症
4362|195|并发症|并发症
4664|7693|并发症|并发症
4679|258|并发症|并发症
7655|4952|并发症|并发症
2613|5779|并发症|并发症
4687|1631|并发症|并发症
5781|2951|并发症|并发症
2830|333|并发症|并发症
3609|4836|并发症|并发症
5230|1713|并发症|并发症
5308|4198|并发症|并发症
541|563|并发症|并发症
924|167|并发症|并发症
4210|940|并发症|并发症
2726|167|并发症|并发症
3713|2419|并发症|并发症
5290|933|并发症|并发症
6299|644|并发症|并发症
6808|3053|并发症|并发症
1391|5596|并发症|并发症
2632|202|并发症|并发症
7536|3093|并发症|并发症
668|138|并发症|并发症
3327|3000|并发症|并发症
1550|43|并发症|并发症
4143|933|并发症|并发症
4940|2898|并发症|并发症
709|2060|并发症|并发症
5871|819|并发症|并发症
5099|984|并发症|并发症
8746|8178|并发症|并发症
4940|4832|并发症|并发症
722|23|并发症|并发症
7535|8233|并发症|并发症
565|5533|并发症|并发症
7176|8577|并发症|并发症
7762|933|并发症|并发症
7955|4063|并发症|并发症
7667|1217|并发症|并发症
3051|252|并发症|并发症
5633|1238|并发症|并发症
2906|120|并发症|并发症
3273|3409|并发症|并发症
1001|3113|并发症|并发症
2434|644|并发症|并发症
2306|8769|并发症|并发症
7492|8779|并发症|并发症
6159|2569|并发症|并发症
19|40|并发症|并发症
8737|1945|并发症|并发症
1359|1319|并发症|并发症
4926|202|并发症|并发症
2184|4072|并发症|并发症
6582|6554|并发症|并发症
6636|19|并发症|并发症
414|2140|并发症|并发症
2945|1135|并发症|并发症
7105|3233|并发症|并发症
236|258|并发症|并发症
2812|3390|并发症|并发症
5076|894|并发症|并发症
2344|3281|并发症|并发症
2745|8631|并发症|并发症
7831|2378|并发症|并发症
2585|3147|并发症|并发症
8559|6507|并发症|并发症
2000|5608|并发症|并发症
2594|770|并发症|并发症
514|6614|并发症|并发症
2920|933|并发症|并发症
6925|195|并发症|并发症
832|2967|并发症|并发症
4375|290|并发症|并发症
3303|802|并发症|并发症
5597|4426|并发症|并发症
2561|6441|并发症|并发症
2968|60|并发症|并发症
220|2539|并发症|并发症
2182|258|并发症|并发症
2561|2229|并发症|并发症
4342|202|并发症|并发症
1175|1182|并发症|并发症
429|310|并发症|并发症
2510|8779|并发症|并发症
8652|8631|并发症|并发症
2338|1136|并发症|并发症
6171|4556|并发症|并发症
4897|3998|并发症|并发症
325|380|并发症|并发症
2330|3281|并发症|并发症
3223|551|并发症|并发症
7265|800|并发症|并发症
8154|1803|并发症|并发症
1556|167|并发症|并发症
1635|1824|并发症|并发症
3454|4201|并发症|并发症
6639|894|并发症|并发症
7795|643|并发症|并发症
8089|2310|并发症|并发症
8751|6934|并发症|并发症
2074|4186|并发症|并发症
2905|5977|并发症|并发症
1180|167|并发症|并发症
6355|195|并发症|并发症
2630|643|并发症|并发症
4859|5365|并发症|并发症
4739|8801|并发症|并发症
5539|195|并发症|并发症
2229|4495|并发症|并发症
3914|138|并发症|并发症
6219|8711|并发症|并发症
746|4106|并发症|并发症
2809|1845|并发症|并发症
98|84|并发症|并发症
3516|8779|并发症|并发症
8017|940|并发症|并发症
827|825|并发症|并发症
6935|6515|并发症|并发症
8774|824|并发症|并发症
8419|2958|并发症|并发症
8218|195|并发症|并发症
2322|1198|并发症|并发症
8191|203|并发症|并发症
887|739|并发症|并发症
1909|1879|并发症|并发症
3193|933|并发症|并发症
4837|1339|并发症|并发症
5659|167|并发症|并发症
7486|1649|并发症|并发症
3782|677|并发症|并发症
74|937|并发症|并发症
8417|603|并发症|并发症
2642|258|并发症|并发症
26|4832|并发症|并发症
8618|933|并发症|并发症
3941|8765|并发症|并发症
681|613|并发症|并发症
3545|8154|并发症|并发症
2752|1325|并发症|并发症
2843|6354|并发症|并发症
3207|768|并发症|并发症
5579|992|并发症|并发症
3690|1504|并发症|并发症
8114|8779|并发症|并发症
556|1005|并发症|并发症
3768|1871|并发症|并发症
5532|743|并发症|并发症
4709|107|并发症|并发症
1731|1599|并发症|并发症
4352|2662|并发症|并发症
5625|638|并发症|并发症
8288|138|并发症|并发症
2814|8779|并发症|并发症
1562|1613|并发症|并发症
2921|8178|并发症|并发症
153|8801|并发症|并发症
7231|4865|并发症|并发症
2485|1223|并发症|并发症
5596|7439|并发症|并发症
6853|854|并发症|并发症
5548|2800|并发症|并发症
2087|1135|并发症|并发症
3989|52|并发症|并发症
6501|258|并发症|并发症
5381|3520|并发症|并发症
3299|770|并发症|并发症
6551|23|并发症|并发症
491|488|并发症|并发症
23|108|并发症|并发症
6879|2201|并发症|并发症
7441|8178|并发症|并发症
6915|5977|并发症|并发症
8011|1135|并发症|并发症
8655|3998|并发症|并发症
1897|8178|并发症|并发症
8590|107|并发症|并发症
3865|3977|并发症|并发症
3767|2275|并发症|并发症
2841|644|并发症|并发症
586|8719|并发症|并发症
5328|6828|并发症|并发症
177|8801|并发症|并发症
3514|1871|并发症|并发症
5129|654|并发症|并发症
700|643|并发症|并发症
5207|796|并发症|并发症
8151|1126|并发症|并发症
8602|461|并发症|并发症
3027|4201|并发症|并发症
4740|2522|并发症|并发症
8219|2975|并发症|并发症
3508|1824|并发症|并发症
5674|2569|并发症|并发症
1238|1608|并发症|并发症
753|6340|并发症|并发症
345|337|并发症|并发症
4375|1756|并发症|并发症
8498|933|并发症|并发症
3726|8801|并发症|并发症
8399|2073|并发症|并发症
3150|4832|并发症|并发症
8665|236|并发症|并发症
626|138|并发症|并发症
1763|8793|并发症|并发症
8028|643|并发症|并发症
807|312|并发症|并发症
3111|2229|并发症|并发症
504|3272|并发症|并发症
8624|40|并发症|并发症
2140|8779|并发症|并发症
267|3292|并发症|并发症
1700|1684|并发症|并发症
2703|1959|并发症|并发症
7732|1631|并发症|并发症
137|151|并发症|并发症
7394|2967|并发症|并发症
151|2935|并发症|并发症
6834|1874|并发症|并发症
2189|1892|并发症|并发症
7297|4254|并发症|并发症
5329|1135|并发症|并发症
5234|2315|并发症|并发症
3411|4763|并发症|并发症
1908|2662|并发症|并发症
5425|107|并发症|并发症
1046|3921|并发症|并发症
7979|4961|并发症|并发症
560|716|并发症|并发症
685|3409|并发症|并发症
6978|8563|并发症|并发症
4423|4031|并发症|并发症
568|551|并发症|并发症
4246|167|并发症|并发症
8429|2473|并发症|并发症
6419|996|并发症|并发症
889|716|并发症|并发症
5726|2526|并发症|并发症
4687|46|并发症|并发症
3503|355|并发症|并发症
2822|2207|并发症|并发症
4244|334|并发症|并发症
2602|1317|并发症|并发症
3499|2398|并发症|并发症
7822|8076|并发症|并发症
4414|8518|并发症|并发症
4965|966|并发症|并发症
6252|2137|并发症|并发症
8567|355|并发症|并发症
3426|253|并发症|并发症
2529|2800|并发症|并发症
5106|984|并发症|并发症
7075|2502|并发症|并发症
5189|1800|并发症|并发症
6345|167|并发症|并发症
8717|1292|并发症|并发症
2274|2275|并发症|并发症
2002|2655|并发症|并发症
391|6441|并发症|并发症
4601|4220|并发症|并发症
1928|2569|并发症|并发症
2338|3147|并发症|并发症
5007|167|并发症|并发症
1646|3998|并发症|并发症
570|6614|并发症|并发症
7972|5661|并发症|并发症
7413|180|并发症|并发症
1520|1949|并发症|并发症
986|203|并发症|并发症
6030|3823|并发症|并发症
3431|5779|并发症|并发症
427|952|并发症|并发症
1259|258|并发症|并发症
7549|760|并发症|并发症
2882|4954|并发症|并发症
2665|88|并发症|并发症
222|180|并发症|并发症
5446|1107|并发症|并发症
3044|7676|并发症|并发症
39|60|并发症|并发症
5045|2992|并发症|并发症
714|1317|并发症|并发症
1630|202|并发症|并发症
1584|5622|并发症|并发症
5991|2419|并发症|并发症
2221|19|并发症|并发症
3566|1287|并发症|并发症
6800|195|并发症|并发症
6813|551|并发症|并发症
7829|2060|并发症|并发症
6816|310|并发症|并发症
5026|814|并发症|并发症
8245|431|并发症|并发症
4998|8489|并发症|并发症
3886|933|并发症|并发症
354|347|并发症|并发症
3194|311|并发症|并发症
4105|3706|并发症|并发症
2173|167|并发症|并发症
4965|939|并发症|并发症
4075|933|并发症|并发症
3543|329|并发症|并发症
1945|1942|并发症|并发症
3137|8489|并发症|并发症
5690|4023|并发症|并发症
2977|4192|并发症|并发症
7744|555|并发症|并发症
7674|8333|并发症|并发症
2053|4832|并发症|并发症
804|2137|并发症|并发症
4908|2214|并发症|并发症
105|8335|并发症|并发症
1965|2800|并发症|并发症
6636|40|并发症|并发症
7265|3522|并发症|并发症
2553|2935|并发症|并发症
5456|1808|并发症|并发症
3694|1572|并发症|并发症
8043|770|并发症|并发症
6182|194|并发症|并发症
877|8229|并发症|并发症
3670|716|并发症|并发症
3862|138|并发症|并发症
2864|1634|并发症|并发症
7199|7917|并发症|并发症
4504|1467|并发症|并发症
7275|7946|并发症|并发症
2131|2740|并发症|并发症
5509|1871|并发症|并发症
166|739|并发症|并发症
5975|258|并发症|并发症
6768|1346|并发症|并发症
6032|654|并发症|并发症
182|429|并发症|并发症
7531|2073|并发症|并发症
831|2672|并发症|并发症
4799|4031|并发症|并发症
202|8801|并发症|并发症
131|743|并发症|并发症
7852|3340|并发症|并发症
4004|1092|并发症|并发症
670|167|并发症|并发症
7891|8629|并发症|并发症
4395|2935|并发症|并发症
6535|5374|并发症|并发症
1598|770|并发症|并发症
