id:ID(symptoms)|name:STRING|label:STRING
38184|躁郁样|症状
38185|头沉|症状
38186|糖耐量降低|症状
38187|收缩期杂音|症状
38188|上半身代偿性多汗症|症状
38189|腹满|症状
38190|垂体性闭经|症状
38191|机械地重复周围...|症状
38192|面肌及颈肌紧张|症状
38193|凹甲|症状
38194|男性型肥胖|症状
38195|晨起前额疼，午后减轻|症状
38196|伸臂握手疼痛|症状
38197|尿渗透压下降|症状
38198|沥青烧伤|症状
38199|第二性征改变|症状
38200|慢性面容|症状
38201|缺铁性贫血|症状
38202|不良建筑综合征|症状
38203|鼻粘膜溃疡和萎缩|症状
38204|隐性产后出血|症状
38205|指甲翘起|症状
38206|过分地惊跳反应|症状
38207|眉毛变白|症状
38208|无痛性尿血|症状
38209|膝内翻|症状
38210|乳腺小叶增生|症状
38211|T波低平或倒置|症状
38212|声门短而窄|症状
38213|头大畸形|症状
38214|增殖体肥大|症状
38215|分娩后甲状腺肿大|症状
38216|眼干涩酸胀，易疲劳|症状
38217|卵巢囊肿|症状
38218|环甲肌失去收缩...|症状
38219|隋静|症状
38220|坏疽|症状
38221|粪样呕吐物|症状
38222|钙化灶|症状
38223|疤痕萎缩凹陷|症状
38224|咽部苹果酱样结节|症状
38225|子宫硬如板状|症状
38226|手掌和足底角化伴多汗|症状
38227|心动过速|症状
38228|下肢动作沉重，...|症状
38229|不宁腿综合征|症状
38230|闭症|症状
38231|黏膜损害|症状
38232|结肠膨胀|症状
38233|蛛网膜增厚|症状
38234|挖鼻孔|症状
38235|肝衰竭|症状
38236|头皮痒|症状
38237|隋海燕|症状
38238|钩回发作|症状
38239|手足长水泡|症状
38240|血道播散|症状
38241|血管迷走性晕厥|症状
38242|眼球偏斜|症状
38243|苦笑面容|症状
38244|鳞状细胞癌|症状
38245|粘液便|症状
38246|上肢无力|症状
38247|脊髓的浸润|症状
38248|指甲呈半圆形|症状
38249|舌无力且不能随...|症状
38250|腹痛，发热及黄疸|症状
38251|角膜瘘|症状
38252|胸膜摩擦音|症状
38253|呼吸速率减慢且规则|症状
38254|心脏左室舒张功能减退|症状
38255|臀肌萎缩|症状
38256|腹泻为水样带黏...|症状
38257|恐风|症状
38258|急性尿潴留|症状
38259|精神障碍|症状
38260|手机依赖症|症状
38261|偏侧不注意|症状
38262|肺内病变|症状
38263|稽留流产|症状
38264|腰大肌脓肿|症状
38265|听觉过敏|症状
38266|肘部外翻角增大|症状
38267|绿色弱|症状
38268|青少年白发|症状
38269|肺下叶周围呈节...|症状
38270|上肢外展上举困难|症状
38271|附睾囊肿|症状
38272|髋部酸胀不适|症状
38273|绿色尿|症状
38274|匐行疹|症状
38275|指甲呈扇形|症状
38276|颈部缺血性跳痛|症状
38277|感染诱发昏迷|症状
38278|一侧颜面肥大|症状
38279|子宫颈扩张|症状
38280|多梦|症状
38281|子宫内膜脱落|症状
38282|龟头疼|症状
38283|晶状体移位|症状
38284|肺纹理增多|症状
38285|鼻子发黑|症状
38286|妙存帅|症状
38287|呈开口状态而不能闭合|症状
38288|骨缝分开|症状
38289|攻击行为|症状
38290|妊娠痒疹|症状
38291|产后腹痛|症状
38292|难治性腹水|症状
38293|口腔幻触|症状
38294|腮腺区肿大|症状
38295|子宫高度低于妊娠周数|症状
38296|粪便中发现白色节片|症状
38297|免疫力下降|症状
38298|完全性遗忘症|症状
38299|疼痛性股白肿|症状
38300|进行性颈部肿块|症状
38301|行为及情绪异常|症状
38302|入睡障碍性失眠|症状
38303|晶状体混浊|症状
38304|对光反射迟钝|症状
38305|桡骨茎突部局限性疼痛|症状
38306|骨软化症骨盆|症状
38307|心胃的奇怪感觉|症状
38308|浅表性疤痕|症状
38309|面下部头痛|症状
38310|偏斜骨盆|症状
38311|手脚发麻|症状
38312|脑缺血|症状
38313|阴道裂伤|症状
38314|声音异常|症状
38315|心脑供血不足|症状
38316|南朝霞|症状
38317|心肌坏死广泛|症状
38318|新生儿皮肤褶皱|症状
38319|恶露|症状
38320|口及咽部烧灼感|症状
38321|吸气时鼻腔阻塞|症状
38322|没有肛门|症状
38323|小颌|症状
38324|思维紊乱|症状
38325|脑室受压移位|症状
38326|一时性便秘|症状
38327|行为动作幼稚愚蠢|症状
38328|胀坠感|症状
38329|黏稠或脓性痰伴...|症状
38330|面部麻木|症状
38331|生理性腹泻|症状
38332|踝部凹陷性水肿|症状
38333|晚上睡觉出冷汗|症状
38334|老年人非病变性...|症状
38335|孕妇肚子痒|症状
38336|骨髓损害|症状
38337|气管移位|症状
38338|下肢短缩|症状
38339|肢体或躯干麻木|症状
38340|薄建国|症状
38341|痛性脸抽搐|症状
38342|偏执性妄想|症状
38343|寰枢关节不稳定|症状
38344|胃肠感冒|症状
38345|软腭有疤痕|症状
38346|纵膈淋巴结肿大|症状
38347|核心抗体（抗H...|症状
38348|弥漫性头痛|症状
38349|排尿困难及尿潴留|症状
38350|蜂窝肺|症状
38351|胚胎停止发育|症状
38352|呼吸功能衰竭|症状
38353|机械性压迫|症状
38354|眼白过白|症状
38355|葡萄膜炎|症状
38356|自发性球内出血|症状
38357|爆发性水泻|症状
38358|眶底爆折|症状
38359|气机失调|症状
38360|胆囊触痛征|症状
38361|经前出血|症状
38362|喉咙冒黏液|症状
38363|酒精性震颤|症状
38364|小儿干咳|症状
38365|软组织感染|症状
38366|迟明华|症状
38367|肺内空洞|症状
38368|睾丸静脉曲张|症状
38369|颈心综合症|症状
38370|面色灰暗|症状
38371|颅内出血|症状
38372|脸裂|症状
38373|神经束损伤断裂|症状
38374|缺乏自控能力|症状
38375|拔牙后伤口经久不愈|症状
38376|乳汁淤积|症状
38377|排气障碍|症状
38378|尿黑酸|症状
38379|臀产式|症状
38380|冻结肩|症状
38381|肾性尿崩|症状
38382|耳廓腹侧面局限性囊肿|症状
38383|饱食后胸痛|症状
38384|瘀血斑|症状
38385|蚊虫刺咬炎症|症状
38386|月经量少|症状
38387|血管畸形|症状
38388|怪异步态|症状
38389|头皮撕脱伤|症状
38390|期外收缩|症状
38391|排尿时外阴灼热...|症状
38392|血清HDL-C...|症状
38393|喜讲秽语|症状
38394|肢体栓塞|症状
38395|潜在中毒|症状
38396|肛内轻微隐痛坠...|症状
38397|心血管造影见双球征|症状
38398|腰背的持续隐痛|症状
38399|岳淑芹|症状
38400|痉挛性便秘|症状
38401|迷走神经张力增高|症状
38402|运动时膝前疼痛加剧|症状
38403|声带发炎|症状
38404|色觉丧失|症状
38405|发绀|症状
38406|弱视眼的拥挤现象|症状
38407|心排血量增多|症状
38408|代谢性低钾|症状
38409|口角生疮|症状
38410|兰彪|症状
38411|产后月经不再来潮|症状
38412|腕背侧或掌侧的...|症状
38413|呛奶|症状
38414|脉搏细弱甚至不...|症状
38415|外阴皮肤肿胀|症状
38416|耳漏|症状
38417|背脊痛|症状
38418|输尿管梗阻|症状
38419|听阈上升|症状
38420|外貌苍老|症状
38421|弯腰时腰痛|症状
38422|逼尿肌无反射|症状
38423|寂静腹|症状
38424|腠理不固|症状
38425|男型骨盆|症状
38426|抬举性搏动|症状
38427|枕部和颈后疼痛|症状
38428|鼻翼边缘缺损|症状
38429|胰腺外分泌功能不良|症状
38430|体重减轻|症状
38431|分离性漫游症|症状
38432|情绪性感冒|症状
38433|女性乳房表浅质...|症状
38434|小肠内的低pH|症状
38435|声门水肿|症状
38436|鼻出血|症状
38437|下唇微痒增大如...|症状
38438|胸痛伴胸闷、心悸|症状
38439|四边孔处的局限压痛|症状
38440|脓苔|症状
38441|耳后淋巴结肿大|症状
38442|儿童精神运动发育异常|症状
38443|黏液尿|症状
38444|格子样变性|症状
38445|先天性虹膜缺乏|症状
38446|手足多汗|症状
38447|盲点|症状
38448|恋尸型性变态|症状
38449|腹膜后纤维化|症状
38450|尿道局部肿胀|症状
38451|肩背部肌肉痛|症状
38452|小脑出血|症状
38453|肾皮质坏死|症状
38454|肠囊性积气|症状
38455|近事遗忘现象|症状
38456|呼吸暂停样现象|症状
38457|痉挛性偏瘫步态|症状
38458|前臂及手部肌群...|症状
38459|肾小球滤过率下降|症状
38460|肺中叶纤维灶|症状
38461|口唇发黄|症状
38462|肢端硬化|症状
38463|组胺性面红|症状
38464|保持睡眠障碍性失眠|症状
38465|三角肌疼痛|症状
38466|中心暗点扩大|症状
38467|乳腺癌的远处转移|症状
38468|子宫内膜梗阻|症状
38469|意志丧失性格|症状
38470|胃窦动力低下|症状
38471|外斜V征|症状
38472|上颚疼|症状
38473|小儿湿疹|症状
38474|眼晶体前房棕色光反射|症状
38475|涂友宝|症状
38476|贪食|症状
38477|酒精中毒性嫉妒妄想|症状
38478|骨龄延迟|症状
38479|说话时字词不能连续|症状
38480|贪食行为|症状
38481|青红肤色|症状
38482|频繁吐黏液|症状
38483|吞咽发呛|症状
38484|心包膜发炎|症状
38485|腕关节圆形的软包块|症状
38486|肺门阴影增多|症状
38487|胎膜早破|症状
38488|愚型样睑裂歪曲|症状
38489|上肢水肿|症状
38490|四肢远端麻木、...|症状
38491|儿童性别偏差|症状
38492|瞳孔大小不等|症状
38493|免疫力降低|症状
38494|产褥期幻觉妄想状态|症状
38495|肝源性水肿|症状
38496|颈动脉硬化|症状
38497|脊柱前突变直局部叩痛|症状
38498|偏身萎缩|症状
38499|小腿肿胀疼痛|症状
38500|虹膜缺损|症状
38501|癫痫和癫痫样发作|症状
38502|烧伤创面甜腥气...|症状
38503|手肌肉萎缩|症状
38504|婴幼儿外阴疼痛|症状
38505|下半身无汗或少汗|症状
38506|情感麻痹|症状
38507|男性不育|症状
38508|腹痛伴黄疸|症状
38509|结痂|症状
38510|产后乳房萎缩|症状
38511|血压波动大|症状
38512|咳出棕色痰栓|症状
38513|脊髓性肌萎缩|症状
38514|局部灼热|症状
38515|毒蕈碱样症状|症状
38516|牙齿发黑|症状
38517|心血管堵塞|症状
38518|脸部汗毛明显|症状
38519|抽筋|症状
38520|岳国斌|症状
38521|青春期身体发育缓慢|症状
38522|蜘蛛痣|症状
38523|耳后疼痛|症状
38524|视网膜水肿|症状
38525|蚁走感|症状
38526|肾包膜过度膨胀|症状
38527|挛缩性疤痕|症状
38528|横结肠下垂|症状
38529|眉间皱纹|症状
38530|腓肠肌强直收缩...|症状
38531|疥疮恐惧|症状
38532|酮症酸中毒|症状
38533|HIV感染|症状
38534|顽固性口腔溃疡|症状
38535|记忆力消失|症状
38536|饮酒性面红|症状
38537|创伤性湿肺|症状
38538|闫芹|症状
38539|趾端干枯发黑|症状
38540|神经束内神经纤维损伤|症状
38541|阴道流出黄色或...|症状
38542|口腔粘膜有形似...|症状
38543|风盛血燥|症状
38544|早晨上下眼睑粘连|症状
38545|心肌顿抑|症状
38546|癫痫的失神发作|症状
38547|胸廓狭窄而扁|症状
38548|颌骨呈“扇形”...|症状
38549|肝区摩擦音|症状
38550|栗东|症状
38551|妊娠时伴有腹痛...|症状
38552|虚脉|症状
38553|鼻中隔或鼻腔内...|症状
38554|受伤后易产生瘢痕|症状
38555|心音微弱|症状
38556|情感暴发|症状
38557|肾小管坏死|症状
38558|青光眼斑|症状
38559|肩部运动受限|症状
38560|死精子过多|症状
38561|肾结晶|症状
38562|排尿障碍|症状
38563|肌无力危象|症状
38564|构音障碍|症状
38565|颌骨发育过度|症状
38566|耳廓擦伤|症状
38567|细胞酶活性异常|症状
38568|网状青斑|症状
38569|真性菌尿|症状
38570|眼白蓝灰色或黑色斑点|症状
38571|头痛头晕|症状
38572|跨阈步态|症状
38573|脱水|症状
38574|拇指内收畸形|症状
38575|角质化|症状
38576|耳垂长痘|症状
38577|主动脉钙化|症状
38578|新生儿少吃|症状
38579|胸膈间烧灼嘈杂感|症状
38580|尿内出现蛋白及管型|症状
38581|药物性肥胖|症状
38582|性窒息|症状
38583|吸收不良综合征|症状
38584|小儿维生素D缺乏|症状
38585|胃肠道功能不好|症状
38586|胃排空过快|症状
38587|烫伤水泡破了|症状
38588|顽固性头痛|症状
38589|小头|症状
38590|压迫瘘口试验|症状
38591|不排卵|症状
38592|不能眨眼|症状
38593|耳后长包|症状
38594|神经性呕吐|症状
38595|大便习惯改变|症状
38596|弱脉|症状
38597|健忘|症状
38598|腺样体面容|症状
38599|面部叩击征|症状
38600|中性粒细胞增高|症状
38601|指甲失去光泽和...|症状
38602|耳道堵塞|症状
38603|假孕|症状
38604|信息成瘾|症状
38605|梳头或洗头时头...|症状
38606|少尿|症状
38607|乳腺隐痛|症状
38608|骨膜反应|症状
38609|髓质海绵肾|症状
38610|心室扑动|症状
38611|喉结下方有肿块|症状
38612|流鼻血|症状
38613|少儿脊柱侧凸|症状
38614|食管蠕动功能减弱|症状
38615|低热消疲|症状
38616|抬肩以助呼吸|症状
38617|碰撞后皮肤容易青紫|症状
38618|霰粒肿|症状
38619|尿液混浊|症状
38620|胸背痛|症状
38621|血液改变|症状
38622|阵发性腹痛|症状
38623|血肿形成|症状
38624|膝、踝反射减退|症状
38625|肾盂积水|症状
38626|肺动脉瓣狭窄杂音|症状
38627|睑结膜硬而扁平的乳头|症状
38628|脉络膜凹陷|症状
38629|唾液腺肿大|症状
38630|病理性偷窃|症状
38631|生长激素分泌过少|症状
38632|虚脱|症状
38633|便秘伴腹部包块|症状
38634|细菌感染|症状
38635|胎动频繁|症状
38636|咽喉干燥充血|症状
38637|外斐氏试验阴性|症状
38638|膨胀性萎缩纹|症状
38639|胸窝疼痛|症状
38640|枕横位入盆|症状
38641|乳头湿疹|症状
38642|赔偿神经症|症状
38643|婴儿步行晚|症状
38644|肝区血管杂音|症状
38645|食管恶性病变|症状
38646|血尿伴排尿不畅|症状
38647|乳腺外上象限腺体增厚|症状
38648|腱反射异常|症状
38649|小儿曳足而行|症状
38650|精子质量差|症状
38651|肝病容|症状
38652|颈部有擦伤痕迹或肿胀|症状
38653|处女膜无孔|症状
38654|嗳腐|症状
38655|吐酸|症状
38656|感觉性共济失调步态|症状
38657|发作性眩晕|症状
38658|食管下括约肌张力下降|症状
38659|胳膊疼痛|症状
38660|新生儿少哭|症状
38661|静脉血栓|症状
38662|喉痒咳嗽|症状
38663|手震颤|症状
38664|胎儿宫内窒息|症状
38665|心包破损伤|症状
38666|急性下肢缺血|症状
38667|紧张性木僵|症状
38668|子宫颈变大|症状
38669|肺阴虚|症状
38670|近视弧|症状
38671|血沉增快|症状
38672|腰部钝痛|症状
38673|前臂外侧和手指...|症状
38674|表皮全层坏死及...|症状
38675|食量增加|症状
38676|腰痛伴肾区叩击痛|症状
38677|尿道弥漫性浸润|症状
38678|乳突炎|症状
38679|不自主运动|症状
38680|碱烧伤|症状
38681|腰骶部或下腰部疼痛|症状
38682|先兆子痫|症状
38683|粪便中见到褐红...|症状
38684|耳骨外翻|症状
38685|缺血性挛缩|症状
38686|手指尖痛或触痛|症状
38687|超雌|症状
38688|额叶癫痫的扣带回发作|症状
38689|不典型增生|症状
38690|四肢无力|症状
38691|背心冷|症状
38692|偏瘫|症状
38693|反复发作右肺感染|症状
38694|肩胛放射性疼痛|症状
38695|前列腺肥大|症状
38696|小腿腓部肌肉疼...|症状
38697|胸式呼吸|症状
38698|运动或情绪激动...|症状
38699|纤毛清除功能障碍|症状
38700|大咯血|症状
38701|臭汗|症状
38702|体位性震颤|症状
38703|八字脚步态|症状
38704|声带萎缩|症状
38705|异型网织细胞|症状
38706|部位不定的疼痛|症状
38707|头皮屑多|症状
38708|诉讼狂|症状
38709|足和足趾不能背屈|症状
38710|频吐白沫|症状
38711|骨膜炎|症状
38712|脓肿|症状
38713|反复呕血|症状
38714|雾视|症状
38715|低分子蛋白尿|症状
38716|耳内流脓|症状
38717|不稳定性心绞痛|症状
38718|咽部肌肉运动障碍|症状
38719|躁狂|症状
38720|继发性失眠|症状
38721|遗传性出血性毛...|症状
38722|甲皱毛细血管袢数减少|症状
38723|小胃综合征|症状
38724|硬斑|症状
38725|骨核出现迟，发育小|症状
38726|脊髓病变|症状
38727|乳头溢液|症状
38728|血睾酮降低|症状
38729|牙龈出血|症状
38730|冲动毁物|症状
38731|腱反射消失|症状
38732|血清酶学改变|症状
38733|脱肛|症状
38734|眼裂细小|症状
38735|男性小便刺痛|症状
38736|恋毛巾被癖|症状
38737|点状出血|症状
38738|南建广|症状
38739|血浆白蛋白降低|症状
38740|肺动脉闭锁|症状
38741|小便刺痛|症状
38742|脑叶出血|症状
38743|绝经后白带增多|症状
38744|阴茎损伤|症状
38745|脓肿破入胸腔|症状
38746|骨质磨损有骨赘增生|症状
38747|医师|症状
38748|阴道持续少量流血|症状
38749|腹股沟处或闭孔处肿胀|症状
38750|眼眶内持续性、...|症状
38751|耳孔处肿物|症状
38752|呼气时两颊鼓起和缩唇|症状
38753|晕车|症状
38754|鼻溢液|症状
38755|踝部及足背水肿|症状
38756|肛门外翻|症状
38757|学习困难|症状
38758|对声音敏感|症状
38759|胸部沉重感|症状
38760|外阴烧灼刺激感|症状
38761|化学性皮肤灼伤|症状
38762|神经症性反应|症状
38763|丘脑下部损害|症状
38764|幽门瘢痕性狭窄|症状
38765|神经性尿频|症状
38766|日常生活能力减...|症状
38767|面部肌肉痉挛|症状
38768|气滞血瘀|症状
38769|乳糜泻|症状
38770|肌腱端炎|症状
38771|鼻孔闭锁|症状
38772|遗传性果糖不耐受|症状
38773|肝糖异生增加|症状
38774|轻度精神发育迟滞|症状
38775|面纹消失|症状
38776|一侧阴囊内逐渐...|症状
38777|大腿内侧痛|症状
38778|脑神经麻痹|症状
38779|溶血|症状
38780|纳差|症状
38781|一侧乳头萎缩，...|症状
38782|颈静脉充盈|症状
38783|上睑黄白色小点|症状
38784|心悸伴乏力、面色苍白|症状
38785|胸肌萎缩|症状
38786|泌尿道阻塞|症状
38787|足跟的后上方疼...|症状
38788|阴道内出现粪质...|症状
38789|内收型骨折|症状
38790|女性腰痛|症状
38791|黑色素沉淀|症状
38792|大腿内侧瘙痒|症状
38793|冬春季的慢性咳...|症状
38794|咯血|症状
38795|猫喘音|症状
38796|认识能力缺失|症状
38797|转肽酶偏高|症状
38798|小腿乏力|症状
38799|痘疮|症状
38800|手指和足趾无痛...|症状
38801|乳白色尿|症状
38802|大块肝细胞坏死|症状
38803|胎儿酒精综合征|症状
38804|免疫性肾炎|症状
38805|精液量多|症状
38806|无脉症|症状
38807|手指香肠型|症状
38808|瘀斑性环|症状
38809|儿童骨缺损|症状
38810|鼻腔前部出血|症状
38811|拇趾与二趾趾间距大|症状
38812|乳腺退化不全|症状
38813|血清中高水平的...|症状
38814|类癌面红|症状
38815|尿道瓣|症状
38816|热痱|症状
38817|睡觉后全身大汗淋漓|症状
38818|椎管大小变化|症状
38819|小儿遗尿|症状
38820|肾小球硬化|症状
38821|髋关节发育不良|症状
38822|血管性水肿|症状
38823|病理性纵火|症状
38824|吸气时胸口痛|症状
38825|足趾屈曲挛缩|症状
38826|巨输尿管症|症状
38827|钩蚴性皮炎|症状
38828|腹股沟痒|症状
38829|骨质破坏|症状
38830|小腿下部色素沉...|症状
38831|眼神异常|症状
38832|指甲夹伤|症状
38833|出汗异常|症状
38834|褐色尿|症状
38835|肾区压痛和叩痛|症状
38836|食物在胃的通过障碍|症状
38837|晶状体囊壁破裂|症状
38838|呼吸窘迫综合症|症状
38839|听力缺陷|症状
38840|呼吸气为蒜臭味|症状
38841|脸红|症状
38842|迁徙性浅静脉血栓形成|症状
38843|隐睾|症状
38844|牵涉痛|症状
38845|舌体肥大|症状
38846|认知功能损害|症状
38847|口腔黏膜白斑|症状
38848|胸腺高度萎缩|症状
38849|低钾血症|症状
38850|生长激素分泌过多|症状
38851|动眼神经麻痹|症状
38852|撤退性出血|症状
38853|节段性肌张力障碍|症状
38854|非玻璃体的病变...|症状
38855|泪腺囊肿|症状
38856|孕妇小腿痒|症状
38857|肥胖并痛性结节...|症状
38858|看东西有小黑点|症状
38859|小腿肌肉萎缩|症状
38860|呻吟|症状
38861|发热伴咳嗽、咯...|症状
38862|脾胃虚寒|症状
38863|肢体障碍|症状
38864|动脉粥样硬化|症状
38865|肌肉跳动|症状
38866|骨转移|症状
38867|前臂细小|症状
38868|肌肉的失用性萎缩|症状
38869|间歇热|症状
38870|肢体发凉|症状
38871|前臂外伤后疼痛|症状
38872|胸腔出口综合征|症状
38873|驼背|症状
38874|脂质沉积症|症状
38875|蛙状鼻|症状
38876|肝被膜血肿破裂|症状
38877|口唇麻木|症状
38878|癌性发热|症状
38879|门静脉积气|症状
38880|大便酸臭|症状
38881|呼吸急促|症状
38882|颈椎间盘突出|症状
38883|耳顶线以下至发...|症状
38884|冠状动脉痉挛|症状
38885|涂明|症状
38886|尿比重下降|症状
38887|尿泡沫|症状
38888|血管萎缩性白斑|症状
38889|呼吸音粗糙|症状
38890|流涎|症状
38891|呼气中有甜臭味|症状
38892|乳房巨大|症状
38893|横结肠移位|症状
38894|子宫呈横椭圆形|症状
38895|柠檬色痰|症状
38896|胸前区疼痛|症状
38897|动脉盗血|症状
38898|老人髋部疼痛|症状
38899|鼠尾征|症状
38900|赫丽杰|症状
38901|小腹冷痛|症状
38902|阴阳气血失衡|症状
38903|浅感觉减退或缺失|症状
38904|鼻梁低|症状
38905|垂体危象|症状
38906|胎心不规则|症状
38907|甲下出血|症状
38908|悬雍垂下垂|症状
38909|两性畸形|症状
38910|Q-T间期延长|症状
38911|足部肿胀压痛|症状
38912|睑外翻|症状
38913|阻塞性黄疸|症状
38914|脾肾阳虚|症状
38915|肺泡炎症|症状
38916|儿童联想和情感障碍|症状
38917|持续颅内杂音|症状
38918|上消化道出血|症状
38919|口腔溃疡|症状
38920|眩晕|症状
38921|阴部溃疡|症状
38922|TOM|症状
38923|胰石阻塞|症状
38924|前额及颧骨突出|症状
38925|鼻粘膜出血|症状
38926|心前区隐痛|症状
38927|抽搐|症状
38928|小儿痒疹|症状
38929|局限性肾坏死|症状
38930|年轻人的眼袋|症状
38931|涂春银|症状
38932|骨裂|症状
38933|表情淡漠|症状
38934|眼距宽阔|症状
38935|性欲亢进|症状
38936|腿痛|症状
38937|小支气管平滑肌挛缩|症状
38938|肾痛|症状
38939|慈彦华|症状
38940|血精|症状
38941|髌骨骨裂|症状
38942|淋巴结疼痛|症状
38943|失血过多后贫血|症状
38944|经期缩短|症状
38945|下肢的感觉，肌...|症状
38946|鼻旁窦发育不良|症状
38947|咯血伴呛咳|症状
38948|SM累积量升高|症状
38949|虹膜发炎|症状
38950|口唇严重充血呈红色|症状
38951|踝关节疼痛|症状
38952|眶周青紫|症状
38953|齿轮样强直|症状
38954|溃疡|症状
38955|腋毛和阴毛脱落|症状
38956|扑翼样震颤|症状
38957|饭后心悸|症状
38958|头皮平直裂口|症状
38959|先天性少白头|症状
38960|郅书芬|症状
38961|脉压小|症状
38962|女性不孕|症状
38963|病理性醉酒|症状
38964|前列腺快感|症状
38965|胆心综合征|症状
38966|肥大结节纤维组织增生|症状
38967|脆性X综合征|症状
38968|脑电波的改变|症状
38969|体象障碍|症状
38970|尺动脉或桡动脉...|症状
38971|骶髂关节疼痛|症状
38972|性腺发育不良|症状
38973|阵发性狂笑|症状
38974|凝血功能障碍|症状
38975|食管壁纤维化|症状
38976|膀胱刺激征|症状
38977|输尿管疼痛|症状
38978|盆腔脊膜膨出|症状
38979|冬雪峰|症状
38980|下腹剧痛并渐向...|症状
38981|侧肋骨痛|症状
38982|急性贫血|症状
38983|早孕反应重|症状
38984|肚脐疼|症状
38985|血栓外痔|症状
38986|痰检或可找到丝状蚴|症状
38987|脘痞|症状
38988|耳廓红肿|症状
38989|胃热疼痛|症状
38990|感觉过敏|症状
38991|偏头痛|症状
38992|潮式呼吸|症状
38993|纸样胎儿|症状
38994|额叶癫痫岛盖发作|症状
38995|扭转痉挛|症状
38996|婴儿黑头粉刺|症状
38997|牙釉质腐蚀|症状
38998|食物过敏|症状
38999|异常高大|症状
39000|血管壁及周围有...|症状
39001|颅骨增生|症状
39002|器质性早泄|症状
39003|言语功能的部分丧失|症状
39004|闫丽|症状
39005|眼球震颤|症状
39006|精子存活率低|症状
39007|腭部有黑色焦痂|症状
39008|脓痱|症状
39009|脱发|症状
39010|化学性支气管炎|症状
39011|阴道粘连甚至闭锁|症状
39012|结肠息肉|症状
39013|间歇性鼻阻塞|症状
39014|内脏梗阻|症状
39015|气血失和|症状
39016|输精管疼痛|症状
39017|肾动脉硬化|症状
39018|兰红霞|症状
39019|肺积水|症状
39020|X型腿|症状
39021|血热|症状
39022|淋巴滤泡增生|症状
39023|外伤性遗忘症|症状
39024|肌肉挛缩|症状
39025|下肢神经性疼痛|症状
39026|一过性肉眼血尿|症状
39027|类风湿结节|症状
39028|胆囊壁厚|症状
39029|抗-HCVAg阳性|症状
39030|上腔静脉回流受阻|症状
39031|肝豆状核变性|症状
39032|弥漫性系膜硬化|症状
39033|肠出血|症状
39034|眼前发黑|症状
39035|持续的肌肉收缩|症状
39036|肌肉酸痛|症状
39037|指骨节肥大|症状
39038|胸腹部畸形|症状
39039|蜂窝组织炎|症状
39040|心内膜弹力纤维增生|症状
39041|老年人流泪多|症状
39042|指、拇、脘的伸...|症状
39043|肺纤维化|症状
39044|稀便|症状
39045|胆汁性肝硬化|症状
39046|下垂乳房|症状
39047|尿瘘|症状
39048|维生素B1缺乏|症状
39049|视觉失认|症状
39050|肺泡出血|症状
39051|铺路石样变性|症状
39052|摇摆步态|症状
39053|新生儿绿牙或棕褐色牙|症状
39054|大便黑绿色|症状
39055|假声现象|症状
39056|颈部不稳感|症状
39057|咬伤愈合的伤口...|症状
39058|斜头畸形|症状
39059|停经并溢乳|症状
39060|碱性磷酸酶增高|症状
39061|出汗减少|症状
39062|心源性呼吸窘迫|症状
39063|尿流呈波动状|症状
39064|扁平苔癣|症状
39065|商鲁翔|症状
39066|对多脂饮食不能耐受|症状
39067|肠管出血|症状
39068|闫肇良|症状
