:START_ID(disease)|:END_ID(drug)|type:STRING|name:STRING
8138|8836|常用药品|常用药品
3511|10509|常用药品|常用药品
2202|11482|常用药品|常用药品
4952|10488|常用药品|常用药品
4799|12405|常用药品|常用药品
7190|10742|常用药品|常用药品
6363|10953|常用药品|常用药品
6895|11426|常用药品|常用药品
7196|10979|常用药品|常用药品
4565|11917|常用药品|常用药品
6975|10391|常用药品|常用药品
8197|9002|常用药品|常用药品
1838|11238|常用药品|常用药品
8311|10267|常用药品|常用药品
3544|10185|常用药品|常用药品
5386|9394|常用药品|常用药品
6091|12576|常用药品|常用药品
3742|10305|常用药品|常用药品
5686|10939|常用药品|常用药品
5806|10685|常用药品|常用药品
5092|12135|常用药品|常用药品
3659|9778|常用药品|常用药品
3391|9375|常用药品|常用药品
1637|11977|常用药品|常用药品
7977|10953|常用药品|常用药品
1605|11977|常用药品|常用药品
4611|11448|常用药品|常用药品
8734|10225|常用药品|常用药品
1238|9974|常用药品|常用药品
896|11461|常用药品|常用药品
5067|12587|常用药品|常用药品
6830|11829|常用药品|常用药品
8274|10585|常用药品|常用药品
351|12311|常用药品|常用药品
2305|9063|常用药品|常用药品
2219|9709|常用药品|常用药品
8641|12070|常用药品|常用药品
4406|9944|常用药品|常用药品
7969|11050|常用药品|常用药品
5502|9007|常用药品|常用药品
8542|8960|常用药品|常用药品
8664|11079|常用药品|常用药品
2316|11876|常用药品|常用药品
8281|11977|常用药品|常用药品
7484|12208|常用药品|常用药品
6929|12037|常用药品|常用药品
2681|10742|常用药品|常用药品
2577|9317|常用药品|常用药品
635|11638|常用药品|常用药品
4295|10171|常用药品|常用药品
2727|11551|常用药品|常用药品
1397|9053|常用药品|常用药品
5403|11406|常用药品|常用药品
7199|11917|常用药品|常用药品
762|12278|常用药品|常用药品
1223|11638|常用药品|常用药品
5374|9736|常用药品|常用药品
5464|10088|常用药品|常用药品
8200|9736|常用药品|常用药品
7903|12019|常用药品|常用药品
4678|9129|常用药品|常用药品
221|10108|常用药品|常用药品
7691|11005|常用药品|常用药品
1329|9472|常用药品|常用药品
7011|11834|常用药品|常用药品
2261|11235|常用药品|常用药品
4943|11311|常用药品|常用药品
3422|12449|常用药品|常用药品
4008|10945|常用药品|常用药品
37|9833|常用药品|常用药品
3227|10765|常用药品|常用药品
2195|11483|常用药品|常用药品
1766|10996|常用药品|常用药品
4472|11966|常用药品|常用药品
6673|9680|常用药品|常用药品
949|12524|常用药品|常用药品
5523|9535|常用药品|常用药品
854|10953|常用药品|常用药品
3380|9793|常用药品|常用药品
1661|12191|常用药品|常用药品
7592|11962|常用药品|常用药品
3699|9826|常用药品|常用药品
4892|8958|常用药品|常用药品
4955|8810|常用药品|常用药品
7398|11744|常用药品|常用药品
3459|11448|常用药品|常用药品
3125|11417|常用药品|常用药品
1647|9454|常用药品|常用药品
4167|11977|常用药品|常用药品
2195|11735|常用药品|常用药品
6850|12524|常用药品|常用药品
6641|12524|常用药品|常用药品
957|11065|常用药品|常用药品
2691|10586|常用药品|常用药品
1770|11112|常用药品|常用药品
8683|11018|常用药品|常用药品
905|9068|常用药品|常用药品
789|10050|常用药品|常用药品
8522|9805|常用药品|常用药品
3138|11917|常用药品|常用药品
519|9383|常用药品|常用药品
2995|8875|常用药品|常用药品
6272|10604|常用药品|常用药品
8312|10488|常用药品|常用药品
3412|9667|常用药品|常用药品
8067|9690|常用药品|常用药品
4507|9631|常用药品|常用药品
1382|9690|常用药品|常用药品
7278|9964|常用药品|常用药品
8685|11744|常用药品|常用药品
1890|10988|常用药品|常用药品
1262|11638|常用药品|常用药品
1958|10995|常用药品|常用药品
2566|10133|常用药品|常用药品
8416|10123|常用药品|常用药品
1189|12171|常用药品|常用药品
5889|11977|常用药品|常用药品
8623|12191|常用药品|常用药品
1942|11035|常用药品|常用药品
2854|8928|常用药品|常用药品
7287|12311|常用药品|常用药品
7731|9126|常用药品|常用药品
1823|10267|常用药品|常用药品
2919|8932|常用药品|常用药品
3415|11060|常用药品|常用药品
7094|9246|常用药品|常用药品
8745|10046|常用药品|常用药品
6628|11744|常用药品|常用药品
3327|12075|常用药品|常用药品
3883|11193|常用药品|常用药品
2879|10231|常用药品|常用药品
4034|9206|常用药品|常用药品
4295|10613|常用药品|常用药品
954|11033|常用药品|常用药品
3989|11320|常用药品|常用药品
2487|9425|常用药品|常用药品
7722|10831|常用药品|常用药品
5153|12283|常用药品|常用药品
4685|11037|常用药品|常用药品
8644|8814|常用药品|常用药品
8659|12311|常用药品|常用药品
461|9198|常用药品|常用药品
170|9739|常用药品|常用药品
2318|9739|常用药品|常用药品
500|12152|常用药品|常用药品
1735|12254|常用药品|常用药品
7954|11220|常用药品|常用药品
1108|10723|常用药品|常用药品
3009|12320|常用药品|常用药品
2075|9944|常用药品|常用药品
2166|9759|常用药品|常用药品
4440|12159|常用药品|常用药品
708|11151|常用药品|常用药品
4589|11917|常用药品|常用药品
2179|9856|常用药品|常用药品
8560|11112|常用药品|常用药品
3454|12016|常用药品|常用药品
7971|11220|常用药品|常用药品
7383|9544|常用药品|常用药品
5826|9954|常用药品|常用药品
5832|9660|常用药品|常用药品
1857|10003|常用药品|常用药品
541|9607|常用药品|常用药品
6793|8853|常用药品|常用药品
1829|10979|常用药品|常用药品
1971|12515|常用药品|常用药品
2028|9893|常用药品|常用药品
5004|9511|常用药品|常用药品
7710|9856|常用药品|常用药品
4717|12433|常用药品|常用药品
5284|11298|常用药品|常用药品
2698|10207|常用药品|常用药品
5666|10091|常用药品|常用药品
6731|10945|常用药品|常用药品
2675|9383|常用药品|常用药品
7756|8960|常用药品|常用药品
5858|11638|常用药品|常用药品
1278|10231|常用药品|常用药品
2988|12159|常用药品|常用药品
1909|10164|常用药品|常用药品
1630|11406|常用药品|常用药品
1680|10184|常用药品|常用药品
8277|11962|常用药品|常用药品
8528|11320|常用药品|常用药品
2348|9561|常用药品|常用药品
747|11916|常用药品|常用药品
2817|12159|常用药品|常用药品
4346|10525|常用药品|常用药品
2294|11823|常用药品|常用药品
919|11017|常用药品|常用药品
4166|8932|常用药品|常用药品
6023|12249|常用药品|常用药品
5313|12191|常用药品|常用药品
4969|9885|常用药品|常用药品
5525|11638|常用药品|常用药品
3951|9861|常用药品|常用药品
4348|11743|常用药品|常用药品
5812|9535|常用药品|常用药品
1120|11293|常用药品|常用药品
2098|11727|常用药品|常用药品
5331|11228|常用药品|常用药品
5901|12191|常用药品|常用药品
2939|12159|常用药品|常用药品
1536|9751|常用药品|常用药品
1983|10906|常用药品|常用药品
4350|9317|常用药品|常用药品
7434|12249|常用药品|常用药品
5053|10744|常用药品|常用药品
3261|9112|常用药品|常用药品
8079|12327|常用药品|常用药品
6958|8901|常用药品|常用药品
8193|11638|常用药品|常用药品
2485|12433|常用药品|常用药品
6398|10945|常用药品|常用药品
4071|11977|常用药品|常用药品
8167|11680|常用药品|常用药品
1016|11916|常用药品|常用药品
2056|10003|常用药品|常用药品
3748|10723|常用药品|常用药品
2067|10061|常用药品|常用药品
671|9667|常用药品|常用药品
8513|11603|常用药品|常用药品
3847|10866|常用药品|常用药品
73|8815|常用药品|常用药品
5183|11834|常用药品|常用药品
1223|8815|常用药品|常用药品
4089|9501|常用药品|常用药品
7412|10953|常用药品|常用药品
3466|10566|常用药品|常用药品
5558|9503|常用药品|常用药品
2423|11772|常用药品|常用药品
8408|11112|常用药品|常用药品
1883|11925|常用药品|常用药品
2199|9053|常用药品|常用药品
752|9655|常用药品|常用药品
2335|11017|常用药品|常用药品
1143|11977|常用药品|常用药品
1833|9305|常用药品|常用药品
7322|8815|常用药品|常用药品
2575|11017|常用药品|常用药品
7663|11638|常用药品|常用药品
385|12225|常用药品|常用药品
4593|11483|常用药品|常用药品
576|10685|常用药品|常用药品
2792|10961|常用药品|常用药品
3848|9317|常用药品|常用药品
4306|10786|常用药品|常用药品
6356|10377|常用药品|常用药品
8344|12306|常用药品|常用药品
1804|8958|常用药品|常用药品
5286|10224|常用药品|常用药品
8035|11037|常用药品|常用药品
8279|9237|常用药品|常用药品
8270|11265|常用药品|常用药品
1514|10377|常用药品|常用药品
72|10816|常用药品|常用药品
3769|8875|常用药品|常用药品
1952|12412|常用药品|常用药品
5803|9121|常用药品|常用药品
6302|10282|常用药品|常用药品
5387|10046|常用药品|常用药品
2285|12524|常用药品|常用药品
4408|11050|常用药品|常用药品
8293|9880|常用药品|常用药品
2827|10742|常用药品|常用药品
4845|11427|常用药品|常用药品
4776|11638|常用药品|常用药品
6134|10338|常用药品|常用药品
8672|9975|常用药品|常用药品
3853|11235|常用药品|常用药品
1922|11588|常用药品|常用药品
3498|12270|常用药品|常用药品
3950|8960|常用药品|常用药品
5198|11037|常用药品|常用药品
2505|9434|常用药品|常用药品
7914|11190|常用药品|常用药品
5329|8935|常用药品|常用药品
3233|10961|常用药品|常用药品
766|12191|常用药品|常用药品
2504|11017|常用药品|常用药品
789|8896|常用药品|常用药品
4451|9706|常用药品|常用药品
526|9319|常用药品|常用药品
4597|10979|常用药品|常用药品
4688|9664|常用药品|常用药品
3580|9317|常用药品|常用药品
5561|12208|常用药品|常用药品
4252|11038|常用药品|常用药品
1205|8836|常用药品|常用药品
1418|12388|常用药品|常用药品
3944|9061|常用药品|常用药品
4338|10338|常用药品|常用药品
6461|11933|常用药品|常用药品
2962|12159|常用药品|常用药品
916|9856|常用药品|常用药品
3753|8875|常用药品|常用药品
3954|10134|常用药品|常用药品
6072|11638|常用药品|常用药品
6453|11018|常用药品|常用药品
6134|11739|常用药品|常用药品
180|10788|常用药品|常用药品
5798|9472|常用药品|常用药品
386|10481|常用药品|常用药品
2701|12037|常用药品|常用药品
3551|9873|常用药品|常用药品
1220|12540|常用药品|常用药品
1893|11977|常用药品|常用药品
6610|8887|常用药品|常用药品
7738|9507|常用药品|常用药品
7950|10529|常用药品|常用药品
2082|10372|常用药品|常用药品
6882|8815|常用药品|常用药品
497|11459|常用药品|常用药品
6162|11848|常用药品|常用药品
42|11096|常用药品|常用药品
4502|12344|常用药品|常用药品
7540|10088|常用药品|常用药品
1594|9473|常用药品|常用药品
7944|9466|常用药品|常用药品
3799|11846|常用药品|常用药品
5308|9451|常用药品|常用药品
1344|11265|常用药品|常用药品
3095|10742|常用药品|常用药品
3804|11646|常用药品|常用药品
7746|12494|常用药品|常用药品
5082|10127|常用药品|常用药品
5459|11992|常用药品|常用药品
2220|9561|常用药品|常用药品
4991|11668|常用药品|常用药品
5139|9281|常用药品|常用药品
5193|11704|常用药品|常用药品
3527|10742|常用药品|常用药品
4436|11050|常用药品|常用药品
375|9042|常用药品|常用药品
7133|9088|常用药品|常用药品
8432|11130|常用药品|常用药品
5086|11265|常用药品|常用药品
8217|10305|常用药品|常用药品
2441|11448|常用药品|常用药品
376|9042|常用药品|常用药品
6458|12159|常用药品|常用药品
3489|9216|常用药品|常用药品
6846|8928|常用药品|常用药品
7044|11977|常用药品|常用药品
1029|10543|常用药品|常用药品
7425|11638|常用药品|常用药品
2654|8815|常用药品|常用药品
8417|9667|常用药品|常用药品
1560|9259|常用药品|常用药品
3441|10795|常用药品|常用药品
2974|9856|常用药品|常用药品
5113|9317|常用药品|常用药品
6133|8815|常用药品|常用药品
627|9511|常用药品|常用药品
698|10585|常用药品|常用药品
3854|10632|常用药品|常用药品
8575|8826|常用药品|常用药品
3228|10016|常用药品|常用药品
4553|11410|常用药品|常用药品
7249|12159|常用药品|常用药品
8546|12240|常用药品|常用药品
6911|9709|常用药品|常用药品
1814|10267|常用药品|常用药品
3300|10795|常用药品|常用药品
5956|9077|常用药品|常用药品
560|9833|常用药品|常用药品
4588|9317|常用药品|常用药品
4976|9003|常用药品|常用药品
5270|11834|常用药品|常用药品
7579|9077|常用药品|常用药品
8637|11527|常用药品|常用药品
1294|9383|常用药品|常用药品
1972|12014|常用药品|常用药品
7476|12576|常用药品|常用药品
6024|10123|常用药品|常用药品
1046|11145|常用药品|常用药品
7756|12184|常用药品|常用药品
3758|11298|常用药品|常用药品
7783|12159|常用药品|常用药品
7716|11638|常用药品|常用药品
4705|10866|常用药品|常用药品
2104|11749|常用药品|常用药品
7794|9112|常用药品|常用药品
8489|11448|常用药品|常用药品
697|10747|常用药品|常用药品
1932|10988|常用药品|常用药品
4292|9032|常用药品|常用药品
1356|9690|常用药品|常用药品
8454|8896|常用药品|常用药品
8035|10616|常用药品|常用药品
7242|10447|常用药品|常用药品
4943|12344|常用药品|常用药品
6891|12184|常用药品|常用药品
7020|11977|常用药品|常用药品
8007|8860|常用药品|常用药品
4133|10528|常用药品|常用药品
5374|9466|常用药品|常用药品
4901|9604|常用药品|常用药品
852|9237|常用药品|常用药品
1001|10586|常用药品|常用药品
1239|9335|常用药品|常用药品
6898|9758|常用药品|常用药品
8664|11369|常用药品|常用药品
7766|9876|常用药品|常用药品
6106|10282|常用药品|常用药品
5946|11638|常用药品|常用药品
7267|10621|常用药品|常用药品
3171|10471|常用药品|常用药品
108|11732|常用药品|常用药品
4458|11744|常用药品|常用药品
1180|9042|常用药品|常用药品
7729|9317|常用药品|常用药品
5992|9375|常用药品|常用药品
7337|12159|常用药品|常用药品
3655|11806|常用药品|常用药品
2293|8901|常用药品|常用药品
2155|9383|常用药品|常用药品
3731|11604|常用药品|常用药品
664|10447|常用药品|常用药品
18|11668|常用药品|常用药品
4645|12561|常用药品|常用药品
6716|11026|常用药品|常用药品
8348|11557|常用药品|常用药品
6370|8875|常用药品|常用药品
6297|11638|常用药品|常用药品
4904|8935|常用药品|常用药品
1089|11461|常用药品|常用药品
4577|9451|常用药品|常用药品
2931|12561|常用药品|常用药品
6058|10993|常用药品|常用药品
7405|9383|常用药品|常用药品
2375|11170|常用药品|常用药品
8374|9834|常用药品|常用药品
5556|10053|常用药品|常用药品
5883|9501|常用药品|常用药品
74|9859|常用药品|常用药品
844|10722|常用药品|常用药品
7741|12628|常用药品|常用药品
6057|11311|常用药品|常用药品
3012|10377|常用药品|常用药品
1510|11854|常用药品|常用药品
1008|12197|常用药品|常用药品
7632|10945|常用药品|常用药品
2198|10692|常用药品|常用药品
1436|9690|常用药品|常用药品
8452|10723|常用药品|常用药品
399|12524|常用药品|常用药品
816|10887|常用药品|常用药品
3475|9009|常用药品|常用药品
8656|8836|常用药品|常用药品
8716|9152|常用药品|常用药品
3335|9810|常用药品|常用药品
6506|10550|常用药品|常用药品
2225|8901|常用药品|常用药品
1036|9147|常用药品|常用药品
1962|8815|常用药品|常用药品
3700|12159|常用药品|常用药品
2138|12323|常用药品|常用药品
8760|11198|常用药品|常用药品
292|12336|常用药品|常用药品
2872|9434|常用药品|常用药品
2615|9451|常用药品|常用药品
3683|9017|常用药品|常用药品
2200|9027|常用药品|常用药品
2200|10575|常用药品|常用药品
230|9257|常用药品|常用药品
4362|10980|常用药品|常用药品
4469|12184|常用药品|常用药品
282|12213|常用药品|常用药品
6382|12277|常用药品|常用药品
4547|9275|常用药品|常用药品
4084|12571|常用药品|常用药品
3452|10723|常用药品|常用药品
704|9484|常用药品|常用药品
3710|10703|常用药品|常用药品
5629|10945|常用药品|常用药品
2401|11744|常用药品|常用药品
5355|8875|常用药品|常用药品
5975|11823|常用药品|常用药品
6736|11665|常用药品|常用药品
3971|8960|常用药品|常用药品
3539|12110|常用药品|常用药品
7006|11834|常用药品|常用药品
2045|11065|常用药品|常用药品
2456|11483|常用药品|常用药品
7671|8817|常用药品|常用药品
3054|12135|常用药品|常用药品
3946|10524|常用药品|常用药品
7021|12494|常用药品|常用药品
641|9256|常用药品|常用药品
8377|11735|常用药品|常用药品
2342|10953|常用药品|常用药品
2586|12074|常用药品|常用药品
612|12017|常用药品|常用药品
3097|12197|常用药品|常用药品
5880|12492|常用药品|常用药品
4612|11448|常用药品|常用药品
6431|9317|常用药品|常用药品
106|11732|常用药品|常用药品
1513|10025|常用药品|常用药品
8031|12234|常用药品|常用药品
8678|11121|常用药品|常用药品
7324|8815|常用药品|常用药品
5783|12191|常用药品|常用药品
3817|9151|常用药品|常用药品
3916|9865|常用药品|常用药品
8568|12086|常用药品|常用药品
6215|9856|常用药品|常用药品
313|11240|常用药品|常用药品
7999|12184|常用药品|常用药品
7141|9859|常用药品|常用药品
883|8932|常用药品|常用药品
1044|10776|常用药品|常用药品
1865|8809|常用药品|常用药品
6154|10043|常用药品|常用药品
153|11441|常用药品|常用药品
8414|12359|常用药品|常用药品
1634|11848|常用药品|常用药品
7498|8960|常用药品|常用药品
2249|9489|常用药品|常用药品
5172|9959|常用药品|常用药品
6916|10723|常用药品|常用药品
7520|9454|常用药品|常用药品
5663|9434|常用药品|常用药品
5628|9112|常用药品|常用药品
671|9925|常用药品|常用药品
4434|11428|常用药品|常用药品
2417|10896|常用药品|常用药品
5857|8815|常用药品|常用药品
7672|10953|常用药品|常用药品
2016|11056|常用药品|常用药品
7739|12159|常用药品|常用药品
5786|11499|常用药品|常用药品
1169|9216|常用药品|常用药品
1859|8815|常用药品|常用药品
4366|9145|常用药品|常用药品
654|11016|常用药品|常用药品
8614|12079|常用药品|常用药品
1865|10866|常用药品|常用药品
2548|11017|常用药品|常用药品
5707|10091|常用药品|常用药品
6916|9317|常用药品|常用药品
954|11065|常用药品|常用药品
8369|12372|常用药品|常用药品
6776|10695|常用药品|常用药品
3762|12561|常用药品|常用药品
5755|12388|常用药品|常用药品
7740|9375|常用药品|常用药品
4933|11499|常用药品|常用药品
2151|9103|常用药品|常用药品
3143|10091|常用药品|常用药品
4296|8928|常用药品|常用药品
7266|9759|常用药品|常用药品
1611|9454|常用药品|常用药品
7698|11017|常用药品|常用药品
1449|9663|常用药品|常用药品
3080|11771|常用药品|常用药品
3874|9620|常用药品|常用药品
6755|11101|常用药品|常用药品
1028|11735|常用药品|常用药品
3493|12086|常用药品|常用药品
4650|11017|常用药品|常用药品
8549|9559|常用药品|常用药品
2053|10043|常用药品|常用药品
7634|11359|常用药品|常用药品
5181|9709|常用药品|常用药品
2866|10953|常用药品|常用药品
6660|12109|常用药品|常用药品
8131|9317|常用药品|常用药品
3974|9454|常用药品|常用药品
1145|12576|常用药品|常用药品
8227|8815|常用药品|常用药品
2276|11822|常用药品|常用药品
1625|9281|常用药品|常用药品
2911|9256|常用药品|常用药品
4183|11195|常用药品|常用药品
6342|9434|常用药品|常用药品
2933|11349|常用药品|常用药品
5619|9739|常用药品|常用药品
6364|9856|常用药品|常用药品
756|12086|常用药品|常用药品
2678|12184|常用药品|常用药品
7395|11668|常用药品|常用药品
2311|10755|常用药品|常用药品
8482|11626|常用药品|常用药品
2442|8815|常用药品|常用药品
2752|9129|常用药品|常用药品
517|12579|常用药品|常用药品
3821|10189|常用药品|常用药品
998|9317|常用药品|常用药品
433|11359|常用药品|常用药品
7525|11692|常用药品|常用药品
6064|11298|常用药品|常用药品
5310|11727|常用药品|常用药品
4560|9084|常用药品|常用药品
7805|9926|常用药品|常用药品
4595|11545|常用药品|常用药品
4681|8932|常用药品|常用药品
5064|10401|常用药品|常用药品
1887|9136|常用药品|常用药品
5537|11515|常用药品|常用药品
989|9122|常用药品|常用药品
8482|8826|常用药品|常用药品
3175|8815|常用药品|常用药品
5287|9464|常用药品|常用药品
1894|9651|常用药品|常用药品
7266|9780|常用药品|常用药品
5486|11038|常用药品|常用药品
1303|11977|常用药品|常用药品
5625|12240|常用药品|常用药品
895|9317|常用药品|常用药品
1213|10863|常用药品|常用药品
8253|11285|常用药品|常用药品
5803|10586|常用药品|常用药品
4082|10025|常用药品|常用药品
1834|9926|常用药品|常用药品
8158|11298|常用药品|常用药品
2429|9383|常用药品|常用药品
7400|10145|常用药品|常用药品
7510|8963|常用药品|常用药品
4026|11638|常用药品|常用药品
8008|10896|常用药品|常用药品
1072|12274|常用药品|常用药品
6878|11744|常用药品|常用药品
3013|10896|常用药品|常用药品
7397|8932|常用药品|常用药品
42|11827|常用药品|常用药品
1656|10021|常用药品|常用药品
8783|10980|常用药品|常用药品
773|9674|常用药品|常用药品
6389|9481|常用药品|常用药品
288|11017|常用药品|常用药品
2357|11252|常用药品|常用药品
7984|10979|常用药品|常用药品
2505|10780|常用药品|常用药品
2515|11372|常用药品|常用药品
6277|10488|常用药品|常用药品
2581|12523|常用药品|常用药品
4138|10025|常用药品|常用药品
707|8928|常用药品|常用药品
7370|9089|常用药品|常用药品
1273|8960|常用药品|常用药品
1333|10631|常用药品|常用药品
3183|11557|常用药品|常用药品
8403|10525|常用药品|常用药品
2239|11365|常用药品|常用药品
1996|11123|常用药品|常用药品
2682|12191|常用药品|常用药品
3833|12527|常用药品|常用药品
4010|12571|常用药品|常用药品
3485|12203|常用药品|常用药品
1778|11453|常用药品|常用药品
8268|9489|常用药品|常用药品
1782|10309|常用药品|常用药品
4554|9856|常用药品|常用药品
6840|12576|常用药品|常用药品
4182|10054|常用药品|常用药品
5488|10723|常用药品|常用药品
2806|11841|常用药品|常用药品
8455|11222|常用药品|常用药品
1062|12364|常用药品|常用药品
508|9042|常用药品|常用药品
674|11285|常用药品|常用药品
3378|10447|常用药品|常用药品
8588|11140|常用药品|常用药品
3993|8815|常用药品|常用药品
7888|11916|常用药品|常用药品
1730|11860|常用药品|常用药品
2614|9256|常用药品|常用药品
3318|11917|常用药品|常用药品
1439|9663|常用药品|常用药品
6575|10778|常用药品|常用药品
5739|12323|常用药品|常用药品
380|10711|常用药品|常用药品
1227|10959|常用药品|常用药品
7103|11626|常用药品|常用药品
8554|12605|常用药品|常用药品
8395|9279|常用药品|常用药品
1324|9129|常用药品|常用药品
5680|9766|常用药品|常用药品
538|10488|常用药品|常用药品
4587|10118|常用药品|常用药品
8066|10901|常用药品|常用药品
3139|11156|常用药品|常用药品
7037|9753|常用药品|常用药品
7082|10278|常用药品|常用药品
4459|9319|常用药品|常用药品
4455|12159|常用药品|常用药品
6405|11133|常用药品|常用药品
4297|9425|常用药品|常用药品
415|11220|常用药品|常用药品
6425|12135|常用药品|常用药品
6537|9037|常用药品|常用药品
7909|8815|常用药品|常用药品
3502|12109|常用药品|常用药品
4983|9246|常用药品|常用药品
3922|9180|常用药品|常用药品
6376|9110|常用药品|常用药品
7826|9319|常用药品|常用药品
1029|9856|常用药品|常用药品
8445|11829|常用药品|常用药品
8085|9451|常用药品|常用药品
568|9042|常用药品|常用药品
1610|8932|常用药品|常用药品
2384|11067|常用药品|常用药品
6181|8851|常用药品|常用药品
6363|10091|常用药品|常用药品
6723|9501|常用药品|常用药品
8679|11744|常用药品|常用药品
5545|9861|常用药品|常用药品
7684|11503|常用药品|常用药品
2394|10091|常用药品|常用药品
4633|9383|常用药品|常用药品
4841|11962|常用药品|常用药品
6408|11638|常用药品|常用药品
8377|11483|常用药品|常用药品
2132|11643|常用药品|常用药品
7657|9052|常用药品|常用药品
6828|11118|常用药品|常用药品
1789|12344|常用药品|常用药品
7128|9281|常用药品|常用药品
1380|10377|常用药品|常用药品
6225|10755|常用药品|常用药品
6349|11005|常用药品|常用药品
8447|11829|常用药品|常用药品
634|9434|常用药品|常用药品
3185|12039|常用药品|常用药品
506|9042|常用药品|常用药品
2736|11087|常用药品|常用药品
7322|10961|常用药品|常用药品
4572|9895|常用药品|常用药品
8558|9383|常用药品|常用药品
5721|11695|常用药品|常用药品
4038|11977|常用药品|常用药品
6798|10127|常用药品|常用药品
5119|9434|常用药品|常用药品
3877|11916|常用药品|常用药品
4515|9739|常用药品|常用药品
3622|9106|常用药品|常用药品
5430|11876|常用药品|常用药品
6522|9966|常用药品|常用药品
3667|12203|常用药品|常用药品
5603|9007|常用药品|常用药品
2787|11545|常用药品|常用药品
14|12159|常用药品|常用药品
3309|9856|常用药品|常用药品
7417|10003|常用药品|常用药品
2807|11264|常用药品|常用药品
7374|12628|常用药品|常用药品
3060|11545|常用药品|常用药品
8660|12188|常用药品|常用药品
429|9179|常用药品|常用药品
3985|11495|常用药品|常用药品
6947|11527|常用药品|常用药品
7557|12344|常用药品|常用药品
6665|10086|常用药品|常用药品
6537|9002|常用药品|常用药品
5292|12274|常用药品|常用药品
8438|11222|常用药品|常用药品
6832|11265|常用药品|常用药品
1028|8948|常用药品|常用药品
4244|11698|常用药品|常用药品
3664|12086|常用药品|常用药品
4323|12314|常用药品|常用药品
7259|9063|常用药品|常用药品
3156|9037|常用药品|常用药品
1885|10988|常用药品|常用药品
7428|11320|常用药品|常用药品
1695|8905|常用药品|常用药品
8609|9924|常用药品|常用药品
7948|10738|常用药品|常用药品
4255|9359|常用药品|常用药品
8155|10995|常用药品|常用药品
5983|9561|常用药品|常用药品
3788|8875|常用药品|常用药品
2328|12616|常用药品|常用药品
5320|11050|常用药品|常用药品
4466|10631|常用药品|常用药品
8064|12292|常用药品|常用药品
1852|9501|常用药品|常用药品
7352|10272|常用药品|常用药品
4000|11971|常用药品|常用药品
1298|11306|常用药品|常用药品
3102|10046|常用药品|常用药品
1588|9454|常用药品|常用药品
2664|10943|常用药品|常用药品
4662|10043|常用药品|常用药品
7509|10920|常用药品|常用药品
1686|9212|常用药品|常用药品
1324|11306|常用药品|常用药品
4616|9004|常用药品|常用药品
256|10961|常用药品|常用药品
4484|11190|常用药品|常用药品
2726|10788|常用药品|常用药品
5718|9947|常用药品|常用药品
7100|11816|常用药品|常用药品
2771|9963|常用药品|常用药品
5976|12534|常用药品|常用药品
7757|9121|常用药品|常用药品
8371|11318|常用药品|常用药品
3083|11771|常用药品|常用药品
5320|10358|常用药品|常用药品
1633|10953|常用药品|常用药品
3256|9883|常用药品|常用药品
6765|11744|常用药品|常用药品
7004|10604|常用药品|常用药品
