creationdate:LONG|:START_ID(Comment)|:END_ID(Place)
1320393564568|687194767832|71
1349537936979|1099511628250|55
1320406372175|687194767836|60
1320394807144|687194767837|60
1351862785153|1099511628255|50
1331415705683|893353198048|49
1320467529542|687194767841|71
1297792824835|412316860899|60
1320401074420|687194767844|71
1332019110456|893353198053|1
1338894697089|962072674790|44
1351852867619|1099511628263|50
1349533790083|1099511628264|55
1331456957734|893353198057|49
1349542946995|1099511628266|55
1332019154956|893353198059|71
1351856342876|1099511628268|50
1332078707598|893353198061|1
1332079263368|893353198062|50
1332066271575|893353198063|49
1351871358651|1099511628272|50
1332131174422|893353198065|101
1297748719145|412316860915|60
1351857198153|1099511628276|50
1331421867114|893353198069|49
1322594696071|755914244598|50
1351919918463|1099511628279|55
1332039785922|893353198072|1
1320389385252|687194767865|71
1351906555092|1099511628282|101
1332063613360|893353198075|1
1351930991201|1099511628284|60
1332676788781|893353198077|101
1331431184517|893353198078|49
1351865716758|1099511628287|1
1351862746769|1099511628288|50
1332064900724|893353198081|101
1332070095459|893353198083|101
1322596712753|755914244612|50
1297810066875|412316860933|60
1349540550845|1099511628294|55
1351895755716|1099511628295|50
1351900983882|1099511628296|50
1322607851173|755914244617|75
1320391751208|687194767882|71
1322613600807|755914244619|50
1322618989799|755914244620|60
1331993948574|893353198093|101
1332685380502|893353198094|101
1351852654300|1099511628303|50
1331416359318|893353198096|49
1351862326292|1099511628305|101
1332618775020|893353198099|16
1351883022273|1099511628308|50
1351853344476|1099511628309|50
1332687107456|893353198102|101
1322610042695|755914244631|50
1351866771545|1099511628312|50
1351921425326|1099511628313|50
1351934272103|1099511628314|60
1331426246679|893353198107|49
1351949930139|1099511628316|60
1351921435336|1099511628317|50
1351933247092|1099511628319|60
1351989920353|1099511628321|55
1331415641930|893353198115|49
1351868693462|1099511628324|50
1351872127949|1099511628325|50
1351870672022|1099511628326|60
1338896212648|962072674855|44
1351904464086|1099511628328|101
1351938895917|1099511628329|71
1338905946005|962072674858|39
1351878790292|1099511628331|55
1351889490132|1099511628332|44
1351905906293|1099511628334|55
1349527905466|1099511628335|55
1338926299012|962072674865|44
1297847820531|412316860978|60
1351857088305|1099511628339|50
1297811554132|412316860980|60
1338897749041|962072674869|44
1297871992948|412316860982|60
1351853750964|1099511628343|50
1332617633037|893353198137|101
1331424578203|893353198138|49
1331990598181|893353198139|101
1320407080209|687194767932|33
1322597679018|755914244669|50
1332038882400|893353198144|1
1331420601567|893353198145|49
1331980247144|893353198147|1
1331990381217|893353198149|101
1349561517447|1099511628359|55
1322629488914|755914244680|50
1331990567371|893353198153|101
1351892297442|1099511628362|50
1320388863980|687194767948|71
1349534090233|1099511628366|55
1349528743342|1099511628367|55
1332033608686|893353198160|101
1332669025864|893353198161|4
1338925446991|962072674898|85
1332007290127|893353198163|1
1332001945761|893353198164|101
1338967601235|962072674901|60
1322605266800|755914244695|50
1320447874785|687194767960|71
1332628992922|893353198169|101
1331991108758|893353198170|101
1338920263623|962072674907|20
1338964400755|962072674908|49
1338895676047|962072674909|44
1332618552654|893353198174|101
1332629102275|893353198175|60
1332634199838|893353198176|1
1332623025547|893353198177|101
1349549325046|1099511628386|55
1338907189676|962072674917|44
1325638015339|755914244711|49
1325610502170|755914244712|49
1325611559977|755914244713|49
1325667247262|755914244714|49
1325625492105|755914244715|49
1325612444238|755914244716|49
1325636086333|755914244717|49
1325610835094|755914244718|49
1325677787868|755914244719|49
1325636862100|755914244720|49
1325610579120|755914244721|49
1325636877776|755914244722|49
1325614189003|755914244723|49
1325659603110|755914244724|49
1349310297050|1099511628406|80
1346780690896|1030792151671|22
1351401424631|1099511628409|1
1352950948101|1168231105146|75
1351410524199|1099511628411|99
1351664012162|1099511628412|74
1351665632958|1099511628413|104
1346778665906|1030792151678|83
1346782411031|1030792151680|76
1346861654071|1030792151681|81
1327783292382|824633721488|99
1336006350293|893353198228|60
1336092086598|893353198233|103
1352688694054|1168231105178|78
1336027588378|893353198235|76
1340512358677|962072674973|60
1342698222946|1030792151710|65
1311797847484|618475291296|103
1349742124149|1099511628450|74
1353936552236|1168231105187|83
1311830429312|618475291300|104
1350562429023|1099511628454|84
1340510809750|962072674986|60
1312748218970|618475291307|49
1351630572383|1099511628460|74
1312817525248|618475291309|49
1354068207039|1168231105198|49
1344574698835|1030792151727|58
1312842154149|618475291312|99
1351020296382|1099511628465|53
1352876636287|1168231105202|75
1353825033514|1168231105203|69
1353825080754|1168231105204|99
1343844470415|1030792151733|98
1351708471180|1099511628471|74
1352888135526|1168231105208|75
1339547169291|962072675001|75
1354136562223|1168231105212|26
1339548101525|962072675005|73
1343807344336|1030792151742|98
1327778472510|824633721535|99
1349149214390|1099511628480|1
1343875582570|1030792151746|49
1294985263282|412316861124|65
1327775991859|824633721541|99
1326861265709|824633721543|75
1351477250038|1099511628488|1
1353886813850|1168231105225|83
1321846765470|755914244810|50
1320358732806|687194768075|54
1321863832612|755914244812|50
1315466501692|687194768077|65
1320391563241|687194768079|1
1306680493985|549755814609|1
1299900520927|481036337874|81
1336653397116|962072675027|22
1351052587644|1099511628500|53
1343781973505|1030792151765|98
1299900654060|481036337878|104
1342688430146|1030792151767|65
1352625238861|1168231105240|78
1351052942911|1099511628506|53
1351114478037|1099511628507|76
1343789665281|1030792151774|98
1351049085651|1099511628513|53
1351122305274|1099511628515|65
1351073060217|1099511628517|74
1351156658304|1099511628519|81
1351110110715|1099511628520|73
1326288909483|824633721580|104
1349969521010|1099511628525|78
1349985141629|1099511628526|61
1353847926276|1168231105265|69
1351034455546|1099511628530|53
1323463994998|755914244851|110
1326279003430|824633721588|104
1326279615157|824633721589|65
1351413798266|1099511628534|1
1351422544588|1099511628536|1
1352951487948|1168231105273|75
1351413808908|1099511628540|74
1326870668753|824633721598|75
1348243825635|1099511628543|74
1339488625458|962072675072|75
1309712133043|549755814657|49
1352717106133|1168231105282|76
1326881497858|824633721603|77
1327775746281|824633721604|99
1350993700498|1099511628550|99
1326909403385|824633721607|110
1289137164734|343597384456|104
1308042975001|549755814665|77
1350955848365|1099511628555|99
1347565786880|1099511628556|1
1346864561370|1030792151821|61
1327825813904|824633721614|99
1352624514989|1168231105295|78
1327826164250|824633721618|97
1354079170514|1168231105300|26
1312744677914|618475291429|76
1340506736533|962072675110|60
1295026035246|412316861223|65
1342765996111|1030792151849|65
1344611720762|1030792151850|58
1306680750791|549755814699|1
1302865285076|481036337964|62
1335984052180|893353198381|52
1342725102340|1030792151854|65
1349325310917|1099511628591|80
1335513256800|893353198384|76
1339884137204|962072675122|37
1348213297141|1099511628595|74
1339882019925|962072675124|52
1339869364356|962072675125|81
1339870507874|962072675127|104
1351632079865|1099511628603|74
1351705719532|1099511628605|110
1345930975937|1030792151871|110
1335992884044|893353198400|52
1330842924230|824633721665|61
1342741018242|1030792151874|65
1309753226194|549755814724|49
1343776180357|1030792151877|98
1311116128584|618475291462|99
1351657824958|1099511628616|74
1329927158192|824633721673|65
1330849223532|824633721674|110
1349181936813|1099511628621|1
1311113481721|618475291470|99
1315499382439|687194768207|65
1353888147669|1168231105360|83
1315511747273|687194768209|49
1329934870274|824633721682|65
1326887258390|824633721683|75
1346869414142|1030792151892|61
1349999011254|1099511628629|78
1297369936478|412316861270|104
1339499807533|962072675159|75
1330121740920|824633721689|73
1350549649544|1099511628634|84
1343793296312|1030792151899|98
1353384002887|1168231105372|93
1353384080545|1168231105373|97
1353384751853|1168231105374|65
1353459953671|1168231105376|65
1353447086982|1168231105377|50
1353877873101|1168231105379|69
1333413891789|893353198438|97
1351466637556|1099511628647|1
1348191676020|1099511628648|74
1351467111623|1099511628649|49
1298924674808|412316861290|103
1335975634961|893353198443|94
1290137109522|343597384556|50
1352711957514|1168231105389|76
1349693801908|1099511628654|74
1352768812823|1168231105391|84
1349693849417|1099511628656|1
1335977013646|893353198449|104
1351827494016|1099511628659|49
1351868640220|1099511628660|22
1352865275162|1168231105397|75
1351839545817|1099511628664|1
1351889005443|1099511628665|81
1351894377110|1099511628666|75
1351853331775|1099511628667|74
1352712026430|1168231105404|46
1351877385549|1099511628669|103
1351894387114|1099511628670|49
1349963840576|1099511628672|78
1329395047538|824633721729|78
1353906864939|1168231105410|83
1329409825887|824633721731|110
1336034667242|893353198468|52
1333430400533|893353198469|97
1333446251379|893353198471|65
1333513590394|893353198472|50
1354011385833|1168231105417|49
1329367555245|824633721738|99
1333446317157|893353198475|1
1351164334932|1099511628685|103
1351100727681|1099511628686|103
1351152102040|1099511628687|97
1351136485169|1099511628688|97
1351196553968|1099511628689|75
1351099394532|1099511628690|78
1351271886740|1099511628691|65
1351137347802|1099511628692|60
1351110137938|1099511628693|83
1351136272141|1099511628694|54
1351146589480|1099511628695|54
1351133166959|1099511628696|49
1353886835813|1168231105434|83
1325284937697|755914245019|97
1344546188409|1030792151964|58
1344547157770|1030792151967|76
1349704296837|1099511628704|74
1330851010560|824633721761|61
1344557033041|1030792151970|58
1354086250481|1168231105443|40
1344563597664|1030792151972|99
1344547167770|1030792151973|92
1323463136217|755914245031|110
1290098180323|343597384616|50
1325271959483|755914245033|97
1330135036017|824633721770|73
1353895532607|1168231105451|83
1344552060935|1030792151980|58
1326802407963|824633721773|75
1353886644170|1168231105454|83
1348706388785|1099511628719|38
1353906259468|1168231105456|97
1351017078846|1099511628721|53
1346405289584|1030792151988|1
1346414158851|1030792151989|104
1354079244892|1168231105462|26
1346435588195|1030792151991|50
1346459193244|1030792151992|104
1354002789511|1168231105466|49
1354120971937|1168231105468|77
1346435854451|1030792151997|99
1346438710464|1030792151998|104
1346421027344|1030792151999|81
1315775658684|687194768321|62
1352749885839|1168231105475|76
1342741030601|1030792152004|65
1330117801494|824633721797|73
1353385474157|1168231105478|93
1352819553481|1168231105479|98
1342741137864|1030792152008|65
1352778529065|1168231105481|75
1315774232908|687194768330|81
1348918719085|1099511628747|68
1315789501480|687194768332|62
1342704375029|1030792152014|65
1354098902866|1168231105487|80
1290088263235|343597384656|50
1336573142544|962072675281|22
1335388698524|893353198546|104
1315550695566|687194768339|65
1330843198425|824633721812|61
1349285276272|1099511628757|80
1329923408038|824633721814|65
1313891339492|618475291609|78
1319556812358|687194768347|65
1335511944586|893353198557|35
1352625380844|1168231105503|78
1350537707366|1099511628768|84
1353362889910|1168231105505|93
1319561861826|687194768355|104
1352665148489|1168231105508|22
1345226535440|1030792152037|60
1333157576889|893353198566|77
1326801826618|824633721832|75
1351023880367|1099511628777|53
1349245816576|1099511628778|80
1313342431471|618475291627|49
1349271405109|1099511628780|78
1349247575708|1099511628781|60
1349312899542|1099511628782|75
1313323823008|618475291631|62
1349388719265|1099511628785|97
1313324363912|618475291634|62
1349385957217|1099511628787|39
1343851649380|1030792152053|49
1333148164570|893353198582|77
1295174318696|412316861431|104
1350046193914|1099511628794|78
1354088231094|1168231105531|49
1350047800211|1099511628796|49
1335353364358|893353198589|104
1333211434130|893353198590|1
1348935107714|1099511628799|68
1352878571438|1168231105538|75
1342946096848|1030792152067|54
1342688394300|1030792152068|65
1302894460137|481036338182|25
1353845582681|1168231105543|69
1325354175485|755914245128|97
1316654308967|687194768393|97
1316682966527|687194768394|97
1348218615138|1099511628811|74
1349692838884|1099511628813|74
1335980836876|893353198610|52
1340496439085|962072675349|60
1326311644163|824633721880|104
1350014381463|1099511628828|78
1340544080347|962072675357|60
1326119063878|824633721886|1
1326091002516|824633721887|62
1339512280212|962072675360|75
1326106592768|824633721889|59
1343860997672|1030792152098|49
1353838815208|1168231105571|69
1349135163789|1099511628836|1
1343861010027|1030792152101|75
1353914749386|1168231105574|51
1343861800105|1030792152103|97
1350786428600|1099511628842|77
1350808795730|1099511628845|68
1350839848302|1099511628848|104
1335632841025|893353198646|83
1351686135925|1099511628855|74
1351688557325|1099511628856|97
1351744104883|1099511628857|61
1351750652953|1099511628858|110
1351762839752|1099511628860|50
1351783589361|1099511628862|74
1351832941547|1099511628863|99
1351848290756|1099511628864|99
1351693683872|1099511628865|110
1325314178932|755914245187|97
1335586785321|893353198660|76
1322977071431|755914245190|52
1345221646685|1030792152136|60
1347615985139|1099511628874|1
1292757797594|343597384779|84
1345265470427|1030792152140|60
1333405371234|893353198669|97
1345284317089|1030792152142|76
1351634820236|1099511628881|74
1321882070957|755914245202|50
1351394446293|1099511628883|1
1302454488315|481036338260|84
1351394592742|1099511628885|52
1351430252240|1099511628886|52
1351394661214|1099511628887|99
1351404712169|1099511628888|99
1333231265157|893353198681|77
1351456277597|1099511628890|59
1313875540397|618475291739|78
1349693172922|1099511628893|74
1349118101019|1099511628896|1
1350500148784|1099511628899|84
1342536350859|1030792152164|99
1312821953788|618475291750|76
1306289038512|549755815015|50
1351629894080|1099511628906|74
1351053403161|1099511628907|53
1351641364401|1099511628909|74
1319280157917|687194768494|65
1308023540476|549755815025|50
1335355883972|893353198708|104
1320289593019|687194768502|54
1350484645041|1099511628919|84
1316731000918|687194768505|5
1306751883017|549755815034|1
1311115150880|618475291772|99
1349107778436|1099511628925|1
1349315765610|1099511628927|80
1332333785291|893353198720|110
1351447087535|1099511628930|1
1344568737170|1030792152195|58
1353890136784|1168231105670|83
1350484749599|1099511628935|84
1352884903561|1168231105673|75
1326801775038|824633721994|75
1321827690723|755914245261|50
1290141157429|343597384846|50
1351634983762|1099511628944|74
1302917208002|481036338321|62
1330881896687|824633722003|61
1351708900415|1099511628948|74
1332354134067|893353198742|62
1332363188533|893353198743|52
1332346254651|893353198745|73
1332348577725|893353198746|83
1290076415044|343597384861|50
1349164466444|1099511628959|1
1324814648978|755914245280|1
1326357431991|824633722018|104
1342687227048|1030792152227|65
1354038489698|1168231105701|49
1354042786029|1168231105702|1
1354047562161|1168231105706|43
1349678382899|1099511628972|74
1341803565438|962072675501|110
1343861511936|1030792152240|49
1335992607927|893353198770|52
1296800574906|412316861619|92
1351398726618|1099511628981|1
1350971832777|1099511628982|99
1336620959267|962072675513|22
1308051420774|549755815098|77
1324798644758|755914245309|1
1319338916643|687194768574|77
1336036298040|893353198785|66
1342928858497|1030792152261|54
1348682468896|1099511628999|38
1342535730203|1030792152264|99
1349702207692|1099511629002|74
1349704613331|1099511629003|61
1340549782350|962072675533|60
1350484413168|1099511629008|84
1354044223852|1168231105745|49
1340520969069|962072675540|60
1332344941775|893353198805|104
1330186921677|824633722071|73
1335979913020|893353198810|52
1336296317019|893353198811|7
1326274751118|824633722077|104
1345294674369|1030792152286|60
1290441995057|343597384928|50
1326805549935|824633722081|75
1319294343962|687194768611|1
1342576837610|1030792152292|99
1325400447575|755914245350|37
1349120218517|1099511629031|1
1353360679547|1168231105769|93
1316730859653|687194768618|84
1352757099695|1168231105772|76
1333151526553|893353198829|77
1319289320642|687194768623|78
1349751487062|1099511629040|74
1349110650947|1099511629042|1
1315515667479|687194768627|65
1326812414562|824633722101|75
1326820208404|824633722102|75
1324811840318|755914245368|1
1352698812917|1168231105785|76
1336571797821|962072675581|22
1341096020831|962072675975|61
1341085073606|962072675976|61
1342741069891|1030792152713|50
1342757884733|1030792152714|69
1352087695670|1099511629451|51
1342741136840|1030792152716|63
1342774957664|1030792152717|69
1342761262309|1030792152718|50
1345145583308|1030792152719|69
1342707272830|1030792152720|50
1342759885647|1030792152721|61
1352092348781|1099511629458|51
1342726097553|1030792152723|50
1342798123075|1030792152724|50
1341059289704|962072675989|61
1342741249444|1030792152726|61
1345145628549|1030792152728|69
1345145977034|1030792152729|69
1341026463225|962072675994|61
1341039113419|962072675995|61
1342744753433|1030792152732|50
1341039647922|962072675997|61
1342762142597|1030792152734|50
1345210346424|1030792152735|69
1341038434075|962072676000|61
1342695452313|1030792152737|50
1352130014983|1099511629474|51
1345201603725|1030792152739|69
1341070230173|962072676004|61
1345146329399|1030792152741|69
1345151491576|1030792152742|69
1345224420161|1030792152743|69
1307485128532|549755815593|69
1352119305435|1099511629482|51
1341025671010|962072676011|61
1345160288892|1030792152748|69
1345149761420|1030792152749|69
1352119398046|1099511629486|61
1352120451927|1099511629487|51
1345180936450|1030792152752|69
1345180946526|1030792152753|69
1352157989851|1099511629490|51
1352152449102|1099511629491|69
1352119848813|1099511629492|51
1352175666114|1099511629493|63
1352183476297|1099511629494|50
1345180964846|1030792152759|50
1352160905023|1099511629496|61
1307502590398|549755815609|69
1341077126010|962072676027|101
1342697012403|1030792152764|50
1352119558349|1099511629501|51
1342707552815|1030792152766|50
1341077460220|962072676031|63
1345153450150|1030792152768|69
1341133530881|962072676033|63
1352167137104|1099511629506|69
1352124309834|1099511629507|69
1352173747756|1099511629508|63
1341134657886|962072676037|61
1267972236084|68719478470|63
1267995789190|68719478471|63
1345147212336|1030792152776|69
1307547977538|549755815625|69
1345186176306|1030792152778|69
1342698840418|1030792152779|50
1341039225981|962072676045|61
1342696419540|1030792152782|50
1307520236129|549755815631|69
1342696832137|1030792152784|61
1345168499890|1030792152785|69
1345156011805|1030792152786|69
1307539277510|549755815635|108
1307483741969|549755815636|45
1342715808336|1030792152789|69
1342695412283|1030792152790|50
1307509523434|549755815639|69
1352118618965|1099511629528|51
1307543712093|549755815641|69
1307557825308|549755815642|63
1352089229858|1099511629531|51
1342700524768|1030792152796|50
1342695377223|1030792152797|50
1341048646723|962072676063|61
1342709567763|1030792152800|50
1342697352336|1030792152801|50
1345147025788|1030792152802|69
1345154748583|1030792152803|69
1342720724731|1030792152804|50
1345154232390|1030792152805|69
1345147047285|1030792152806|69
1342695330113|1030792152807|50
1345147182589|1030792152808|69
1341064191078|962072676073|69
1341047492018|962072676074|61
1352165644713|1099511629547|51
1345147223404|1030792152812|63
1342709006128|1030792152813|69
1342699453540|1030792152814|61
1345147837755|1030792152815|63
1347437169095|1099511629885|77
1340882661353|962072676425|82
1340843087719|962072676429|82
1311174941737|618475292751|49
1353439374950|1168231106649|109
1318495650428|687194769499|51
1353449183330|1168231106666|109
1303506478219|481036339310|49
1347522678997|1099511629942|77
1347437268889|1099511629943|77
1344910421469|1030792153221|82
1318576757436|687194769545|51
1318506393280|687194769546|51
1347469921993|1099511629965|77
1344896520669|1030792153234|49
1353431681709|1168231106707|109
1347446058526|1099511629973|77
1340827860078|962072676515|82
1320698931122|755914247019|61
1341539434943|962072677228|22
1353494893069|1168231107438|1
1346041470973|1030792153967|1
1308202695096|549755816816|4
1353558184393|1168231107441|1
1343911544690|1030792153971|61
1320694575017|755914247028|61
1320692699319|755914247030|61
1345958030035|1030792153975|1
1333041266751|893353200504|69
1351037828744|1099511630713|1
1345857059818|1030792153978|69
1333050649736|893353200507|69
1351032987092|1099511630718|1
1308137627221|549755816832|4
1343865850562|1030792153985|61
1320721113259|755914247043|61
1333050594656|893353200516|69
1345852513688|1030792153990|69
1308188246824|549755816839|4
1351092083041|1099511630730|1
1336139007249|893353200523|69
1353555250881|1168231107468|1
1351058289991|1099511630734|1
1353518116876|1168231107475|1
1345853079779|1030792154006|69
1341519880306|962072677272|22
1333027200803|893353200537|69
1353500014658|1168231107482|1
1353515041213|1168231107483|61
1353509718680|1168231107484|69
1345883758229|1030792154015|69
1341539946443|962072677280|22
1308137001909|549755816866|4
1333789721720|893353200547|69
1333740791093|893353200548|69
1345887727514|1030792154022|69
1308166462229|549755816872|4
1350951115219|1099511630761|69
1353481399601|1168231107498|1
1308156657925|549755816875|14
1336154158990|893353200556|69
1341536141766|962072677294|22
1308134529088|549755816879|4
1346037294130|1030792154032|1
1320659450268|755914247089|61
1336187167004|893353200563|69
1350925321707|1099511630772|69
1308081510496|549755816886|4
1353481931968|1168231107512|1
1345937087913|1030792154044|69
1351034812256|1099511630782|1
1320678077425|755914247103|61
1333053140873|893353200577|69
1350931835115|1099511630786|69
1333017762506|893353200579|69
1333740510205|893353200580|69
1345957661063|1030792154054|1
1308119551027|549755816903|4
1308101423689|549755816904|4
1308090970757|549755816905|4
1333063838739|893353200586|69
1350927931246|1099511630803|69
1351059064477|1099511630804|1
1345885852620|1030792154070|69
1351009738987|1099511630807|69
1320695858083|755914247128|61
1333083718876|893353200601|69
1333040560250|893353200603|69
1351033998236|1099511630812|1
1353522214510|1168231107550|1
1353486180907|1168231107551|1
1353535431744|1168231107552|4
1353545647224|1168231107553|1
1353522511227|1168231107554|69
1353522846967|1168231107555|22
1329743727406|824633723878|54
1351033866030|1099511630823|54
1329747199421|824633723880|63
1351036148550|1099511630825|54
1351058428177|1099511630827|54
1329749134057|824633723884|63
1351089725083|1099511630829|63
1351076481551|1099511630831|54
1351035129047|1099511630832|54
1351089833760|1099511630836|54
1329695605756|824633723894|63
1351034008028|1099511630843|54
1305362039867|549755816956|54
1351053673604|1099511630845|54
1351086952970|1099511630846|63
1351038877172|1099511630848|54
1351047886180|1099511630849|54
1351054725675|1099511630850|54
1351081117458|1099511630851|54
1351111206311|1099511630853|63
1351112487914|1099511630854|54
1351055770852|1099511630855|54
1351053219354|1099511630856|54
1351109050134|1099511630857|54
1286008928154|274877910026|63
1351120721936|1099511630860|54
1351082717794|1099511630861|54
1351093106356|1099511630862|75
1351049605798|1099511630864|54
1346886567842|1030792154132|63
1351058118752|1099511630869|54
1346887534887|1030792154134|63
1346899275076|1030792154138|54
1346890292259|1030792154143|75
1351080196843|1099511630885|54
1305368765310|549755816998|54
1305415621681|549755817000|54
1337477359568|962072677421|75
1305436393145|549755817010|54
1337494782821|962072677427|75
1351038930220|1099511630900|54
1305432028185|549755817018|54
1351034328949|1099511630907|54
1305362983214|549755817021|54
1305406167999|549755817029|63
1305394596372|549755817034|54
1337477346031|962072677451|75
1351033929254|1099511630925|54
1339046831680|962072677732|49
1339046750859|962072677733|101
1339385961373|962072677734|53
1339085042612|962072677735|87
1339132982760|962072677736|50
1324513489029|755914247531|50
1324470638382|755914247532|50
1339510198837|962072677741|69
1324530628537|755914247534|101
1324551127877|755914247535|50
1324511171671|755914247536|51
1298234756277|412316863859|50
1298253772505|412316863861|50
1339336007647|962072677751|53
1353032459636|1168231107962|49
1353011793651|1168231107963|51
1353026428200|1168231107964|50
1353011806666|1168231107966|50
1292284551951|343597387136|50
1292362123080|343597387137|50
1292349603865|343597387138|101
1316890572922|687194770819|49
1339492059322|962072677764|69
1317351355148|687194770821|51
1339500609293|962072677767|53
1317381553849|687194770824|51
1298238300519|412316863881|50
1316868019833|687194770827|49
1339478259797|962072677773|69
1279286237654|206158433678|101
1316839534859|687194770832|49
1339340567456|962072677777|1
1339358068322|962072677778|53
1339469885077|962072677779|69
1292300600623|343597387156|50
1339464752086|962072677781|69
1339463421743|962072677782|69
1339508020977|962072677784|69
1339342316211|962072677786|29
1298257771692|412316863899|50
1339477773406|962072677788|69
1339483716847|962072677789|69
1292334942551|343597387166|50
1288551841325|274877910431|101
1292417110547|343597387168|50
1298233506710|412316863905|50
1298241999184|412316863906|50
1288495450052|274877910435|101
1298268157049|412316863908|101
1339476677183|962072677797|69
1327249178309|824633724327|105
1347776066627|1099511631272|52
1293991565422|343597387177|49
1344542097797|1030792154538|76
1342312325004|1030792154539|81
1330355091473|824633724332|105
1342280197857|1030792154543|81
1334978763242|893353201072|105
1334975320727|893353201073|105
1334971101935|893353201074|54
1335054381659|893353201075|54
1335022407917|893353201076|49
1334995330298|893353201077|105
1314261420883|618475294143|38
1347795474409|1099511631298|52
1344541282676|1030792154563|76
1314284887463|618475294148|38
1351481564942|1099511631305|59
1351414385320|1099511631308|105
1342280559486|1030792154575|49
1342280345355|1030792154576|105
1347772814921|1099511631313|52
1344543068944|1030792154578|76
1342337086036|1030792154579|105
1344595007485|1030792154580|81
1342293817168|1030792154581|49
1337923905754|962072677847|73
1330343814587|824633724376|105
1314270461587|618475294169|38
1342276860629|1030792154586|81
1294031602806|343597387227|49
1324105490233|755914247645|53
1333666230631|893353201119|54
1347773858077|1099511631328|52
1315103398431|618475294179|49
1314268359150|618475294181|38
1334036698736|893353201127|8
1342283779371|1030792154600|81
1334032373186|893353201130|105
1334086960050|893353201132|53
1334037374981|893353201133|105
1335117704368|893353201136|59
1335150239684|893353201139|53
1335202752643|893353201140|49
1337945846300|962072677877|73
1335172922753|893353201142|38
1344545957917|1030792154619|76
1335127061802|893353201148|49
1314298105576|618475294210|38
1327231057192|824633724419|105
1342280307193|1030792154631|81
1347778954802|1099511631369|52
1327231399500|824633724429|49
1335163160690|893353201166|59
1327232474584|824633724431|49
1324147950551|755914247699|53
1324067584816|755914247700|53
1342335762967|1030792154645|81
1342341411238|1030792154646|81
1342335773160|1030792154647|49
1330321963923|824633724440|105
1347851475666|1099511631386|52
1347852856627|1099511631387|38
1347772366154|1099511631388|99
1347837975439|1099511631390|81
1347918212916|1099511631394|59
1315165046504|618475294243|106
1324084654140|755914247719|53
1315158504686|618475294248|49
1337906539815|962072677929|73
1344576079208|1030792154667|76
1324089838528|755914247726|53
1337879898107|962072677935|73
1315161219986|618475294258|38
1333701441951|893353201204|54
1338370957968|962072677943|48
1351064608878|1099511631416|1
1294225254528|412316864058|78
1294244898179|412316864060|78
1338371130083|962072677949|78
1352341698555|1099511631422|1
1318282109727|687194771008|4
1351065611671|1099511631425|78
1318282336680|687194771010|4
1338369913299|962072677956|19
1338437398128|962072677957|4
1338445180688|962072677960|48
1338373565890|962072677962|78
1338380153480|962072677963|48
1318322326643|687194771021|4
1338430360782|962072677969|82
1308087631363|549755817554|78
1296743776111|412316864097|38
1296727792123|412316864102|38
1339968104998|962072677998|57
1350416434714|1099511631479|57
1321717197043|755914247801|57
1350396560282|1099511631494|38
1321717167260|755914247815|57
1321706196589|755914247823|57
1323992031791|755914247829|57
1300845670038|481036340886|38
1297018767896|412316864173|1
1318345341384|687194771118|1
1351673475215|1099511631535|78
1320105200734|687194771122|1
1339520522814|962072678070|1
1339521124537|962072678071|54
1339545353205|962072678072|1
1339577688155|962072678074|1
1339601068471|962072678075|83
