creationdate:LONG|:START_ID(Post)|:END_ID(Place)
1275096135252|137438953586|85
1275096136252|137438953587|80
1275096137252|137438953588|80
1275096138252|137438953589|80
1275096139252|137438953590|80
1275096140252|137438953591|80
1275096141252|137438953592|80
1271784510005|68719476857|80
1271784511005|68719476858|80
1271784512005|68719476859|80
1271784513005|68719476860|80
1271784514005|68719476861|80
1271784515005|68719476862|80
1275552580330|137438953599|80
1275552581330|137438953600|80
1275552582330|137438953601|80
1275552583330|137438953602|80
1275552584330|137438953603|80
1275552585330|137438953604|80
1275552586330|137438953605|80
1275552587330|137438953606|80
1275552588330|137438953607|80
1275552589330|137438953608|80
1275552590330|137438953609|80
1275552591330|137438953610|80
1275552592330|137438953611|80
1275552593330|137438953612|80
1275552594330|137438953613|80
1275552595330|137438953614|80
1294595020583|412316860559|80
1294595021583|412316860560|80
1294595022583|412316860561|80
1294595023583|412316860562|80
1294595024583|412316860563|80
1294595025583|412316860564|80
1294595027583|412316860566|80
1294595028583|412316860567|80
1294595029583|412316860568|80
1294595030583|412316860569|80
1294595031583|412316860570|66
1294595032583|412316860571|80
1294595033583|412316860572|4
1294595034583|412316860573|80
1294595035583|412316860574|80
1294595036583|412316860575|80
1294595037583|412316860576|80
1294595038583|412316860577|80
1294595039583|412316860578|80
1315248242396|618475290787|80
1315248243396|618475290788|80
1315248244396|618475290789|80
1315248245396|618475290790|80
1315248246396|618475290791|80
1315248247396|618475290792|80
1315248248396|618475290793|80
1315248249396|618475290794|80
1315248250396|618475290795|80
1315248251396|618475290796|80
1315248252396|618475290797|80
1315248253396|618475290798|80
1315248254396|618475290799|80
1315248255396|618475290800|80
1315248256396|618475290801|80
1315248257396|618475290802|82
1315248258396|618475290803|80
1315248259396|618475290804|80
1315248260396|618475290805|80
1277806128846|137438953654|80
1277806129846|137438953655|87
1277806130846|137438953656|80
1277806131846|137438953657|80
1277806132846|137438953658|80
1277806133846|137438953659|80
1277806134846|137438953660|96
1277806135846|137438953661|80
1277806136846|137438953662|80
1277806137846|137438953663|80
1277806138846|137438953664|80
1277806140846|137438953666|80
1277806141846|137438953667|80
1277806142846|137438953668|80
1277806143846|137438953669|80
1325015174617|755914244294|80
1325015175617|755914244295|80
1325015176617|755914244296|80
1325015177617|755914244297|80
1325015178617|755914244298|80
1325015179617|755914244299|80
1325015180617|755914244300|80
1325015181617|755914244301|80
1293201453164|343597383886|80
1293201455164|343597383888|80
1293201456164|343597383889|80
1293201457164|343597383890|80
1293201458164|343597383891|80
1293201459164|343597383892|80
1293201460164|343597383893|80
1293201461164|343597383894|80
1293201462164|343597383895|80
1293201463164|343597383896|80
1293201464164|343597383897|80
1293201465164|343597383898|80
1293201466164|343597383899|80
1293201467164|343597383900|80
1293201469164|343597383902|80
1293201470164|343597383903|80
1293201471164|343597383904|80
1344800462377|1030792151265|80
1344800463377|1030792151266|80
1344800464377|1030792151267|80
1344800465377|1030792151268|80
1344800466377|1030792151269|80
1344800467377|1030792151270|80
1344800468377|1030792151271|80
1344800469377|1030792151272|80
1344800470377|1030792151273|80
1344800471377|1030792151274|80
1344800472377|1030792151275|80
1344800473377|1030792151276|72
1344800474377|1030792151277|80
1344800475377|1030792151278|80
1344800476377|1030792151279|80
1288695266190|274877907184|80
1288695267190|274877907185|80
1288695268190|274877907186|80
1288695269190|274877907187|80
1288695270190|274877907188|80
1288695271190|274877907189|80
1288695272190|274877907190|80
1288695273190|274877907191|80
1326485976535|824633721080|80
1326485977535|824633721081|80
1331296161066|893353197818|80
1331296162066|893353197819|80
1331296163066|893353197820|80
1331296164066|893353197821|80
1331296165066|893353197822|80
1331296166066|893353197823|80
1331296167066|893353197824|80
1331296168066|893353197825|80
1331296169066|893353197826|80
1331296170066|893353197827|80
1331296171066|893353197828|80
1331296172066|893353197829|80
1331296173066|893353197830|80
1331296174066|893353197831|80
1331296175066|893353197832|80
1331296176066|893353197833|80
1331296177066|893353197834|80
1331296178066|893353197835|80
1331296179066|893353197836|80
1340956040878|962072674573|80
1340956041878|962072674574|80
1340956042878|962072674575|80
1340956043878|962072674576|80
1340956044878|962072674577|80
1340956045878|962072674578|80
1340956046878|962072674579|80
1340956047878|962072674580|80
1340956048878|962072674581|80
1293150232395|343597383958|80
1293150233395|343597383959|80
1293150234395|343597383960|80
1293150235395|343597383961|80
1293150236395|343597383962|80
1312540327795|618475290907|80
1312540328795|618475290908|80
1312540329795|618475290909|80
1312540330795|618475290910|80
1312540331795|618475290911|80
1312540332795|618475290912|80
1312540333795|618475290913|80
1312540334795|618475290914|80
1312540335795|618475290915|80
1312540336795|618475290916|80
1312540337795|618475290917|80
1312540338795|618475290918|80
1312540339795|618475290919|80
1312540340795|618475290920|80
1320701850247|755914244393|80
1320701851247|755914244394|80
1320701852247|755914244395|80
1320701853247|755914244396|80
1320701854247|755914244397|80
1320701855247|755914244398|80
1320701856247|755914244399|80
1320701857247|755914244400|80
1320701858247|755914244401|80
1320701859247|755914244402|80
1320701860247|755914244403|80
1320701862247|755914244405|80
1320701863247|755914244406|80
1320701864247|755914244407|80
1320701865247|755914244408|80
1320701866247|755914244409|80
1320701867247|755914244410|80
1314547372892|618475290939|80
1314547373892|618475290940|80
1314547374892|618475290941|80
1314547375892|618475290942|80
1314547376892|618475290943|80
1314547377892|618475290944|80
1293176039841|343597384001|80
1291050520739|343597384003|80
1291050521739|343597384004|80
1291050522739|343597384005|80
1312968928179|618475290950|80
1312968929179|618475290951|20
1312968930179|618475290952|80
1312968931179|618475290953|80
1312968932179|618475290954|80
1312968933179|618475290955|80
1312968934179|618475290956|80
1312968936179|618475290958|80
1312968937179|618475290959|80
1312968938179|618475290960|80
1312968939179|618475290961|80
1320060009786|687194767698|80
1320060010786|687194767699|80
1320060011786|687194767700|80
1320060012786|687194767701|80
1320060013786|687194767702|80
1320060014786|687194767703|80
1346726525263|1030792151384|80
1346726527263|1030792151386|80
1346726528263|1030792151387|80
1346726529263|1030792151388|80
1346726530263|1030792151389|80
1346726531263|1030792151390|80
1294580197996|412316860767|80
1294580198996|412316860768|80
1294580199996|412316860769|80
1294580200996|412316860770|80
1294580201996|412316860771|80
1294580202996|412316860772|80
1294580203996|412316860773|80
1294580204996|412316860774|80
1294580205996|412316860775|80
1294580206996|412316860776|80
1294580207996|412316860777|80
1294580208996|412316860778|80
1294580209996|412316860779|80
1294580210996|412316860780|80
1294580211996|412316860781|80
1263050369156|366|80
1263050370156|367|80
1263050371156|368|80
1263050372156|369|80
1263050373156|370|80
1263050374156|371|80
1263050375156|372|80
1263050376156|373|80
1263050377156|374|80
1263050378156|375|80
1263050379156|376|80
1263050380156|377|80
1263050381156|378|80
1263050382156|379|80
1263050383156|380|80
1263050384156|381|80
1263050385156|382|80
1263050386156|383|80
1263050387156|384|80
1263050388156|385|80
1295097262541|412316860802|92
1311910167713|618475291018|92
1294166098015|412316860818|92
1339192828781|962072674714|92
1347730885977|1099511628194|92
1303716085732|481036337578|92
1315230977224|618475291058|92
1342808273401|1030792151482|92
1318935256595|687194767810|92
1318889311595|687194767826|92
1297785851273|412316860898|92
1297747961273|412316860914|92
1297807001273|412316860930|92
1318886476595|687194767890|92
1265209722445|546|69
1297811276273|412316860976|92
1297825856273|412316860991|92
1297738916273|412316860998|92
1265173722445|598|92
1325607202489|755914244710|60
1346767061492|1030792151669|60
1326965958405|824633721487|60
1311796369545|618475291292|60
1312734882511|618475291305|60
1324471261365|755914244790|60
1279593254208|206158430915|60
1299877651246|481036337872|60
1270403799686|68719477469|60
1285400579643|274877907690|60
1310420866673|618475291376|60
1275981189659|137438954237|60
1299826407913|481036337930|60
1279038508368|206158431012|60
1339869350555|962072675121|60
1264423030395|830|60
1297353561430|412316861259|60
1306406025006|549755814744|60
1268244100199|68719477605|60
1351816348921|1099511628658|60
1329366939640|824633721727|60
1351099327698|1099511628684|60
1273822788714|137438954393|60
1289648862802|343597384614|60
1346401319101|1030792151987|60
1315773901298|687194768320|60
1272018457853|68719477709|60
1319555774580|687194768346|60
1313323092531|618475291623|60
1295150216162|412316861428|60
1284870149396|274877907969|60
1293533509777|343597384718|60
1326090932622|824633721883|46
1350783325850|1099511628840|60
1335625908247|893353198645|60
1284747775556|274877908034|60
1302454457069|481036338255|60
1306286487118|549755815004|60
1288533057153|274877908073|60
1319279904382|687194768492|60
1272191670687|68719477871|60
1293751459824|343597384818|60
1319342229382|687194768501|60
1272145635687|68719477880|60
1293720859824|343597384827|60
1332332837799|893353198718|60
1288473567153|274877908097|60
1293648229824|343597384837|60
1288482702153|274877908104|60
1288522302153|274877908108|60
1290297035701|343597384847|60
1290386540701|343597384850|60
1332353942799|893353198741|60
1332345842799|893353198744|60
1288514022153|274877908123|60
1319281479382|687194768542|60
1288388922153|274877908129|60
1293700384824|343597384868|60
1319298039382|687194768552|60
1272124575687|68719477931|60
1272180510687|68719477934|86
1290339380701|343597384881|60
1319318649382|687194768564|60
1288469562153|274877908152|60
1319293269382|687194768572|60
1293758254824|343597384895|60
1290402605701|343597384899|60
1332346382799|893353198790|60
1293721894824|343597384905|60
1293741424824|343597384908|60
1319336334382|687194768591|60
1332341792799|893353198803|60
1288463892153|274877908182|107
1319343894382|687194768601|60
1290440405701|343597384924|60
1290383345701|343597384927|60
1319261004382|687194768610|60
1319183469382|687194768613|60
1290394865701|343597384936|60
1319272254382|687194768619|60
1319287374382|687194768622|60
1293719464824|343597384945|60
1272183075687|68719478004|60
1290391580701|343597384951|60
1293711679824|343597384956|60
1339665168171|962072675583|14
1339665169171|962072675584|10
1301569890774|481036338433|60
1301569891774|481036338434|60
1301569892774|481036338435|60
1301569893774|481036338436|60
1301569894774|481036338437|60
1301569895774|481036338438|60
1301569896774|481036338439|60
1301569897774|481036338440|60
1301569898774|481036338441|60
1301569899774|481036338442|60
1301569900774|481036338443|60
1301569901774|481036338444|60
1301569902774|481036338445|60
1301569903774|481036338446|60
1344473553944|1030792152335|60
1344473554944|1030792152336|60
1344473555944|1030792152337|60
1344473556944|1030792152338|60
1344473557944|1030792152339|60
1344473558944|1030792152340|60
1344473559944|1030792152341|60
1344473560944|1030792152342|60
1344473561944|1030792152343|60
1344473562944|1030792152344|60
1344473563944|1030792152345|60
1344473564944|1030792152346|60
1344473565944|1030792152347|60
1344473566944|1030792152348|60
1344473567944|1030792152349|60
1344473568944|1030792152350|60
1344473569944|1030792152351|60
1344473570944|1030792152352|60
1344473571944|1030792152353|60
1295789454646|412316861730|60
1295789455646|412316861731|60
1295789456646|412316861732|60
1295789457646|412316861733|60
1295789458646|412316861734|60
1295789459646|412316861735|60
1295789460646|412316861736|60
1295789461646|412316861737|60
1295789462646|412316861738|60
1295789463646|412316861739|60
1325592565454|755914245424|60
1325592566454|755914245425|60
1325592567454|755914245426|60
1325592568454|755914245427|60
1325592569454|755914245428|60
1325592570454|755914245429|60
1325592571454|755914245430|60
1325592572454|755914245431|60
1325592573454|755914245432|60
1325592574454|755914245433|26
1325592575454|755914245434|60
1325592576454|755914245435|60
1325592577454|755914245436|60
1325592579454|755914245438|60
1325592580454|755914245439|60
1325592581454|755914245440|60
1309704792439|549755815233|60
1309704793439|549755815234|60
1309704794439|549755815235|60
1309704796439|549755815237|60
1309704797439|549755815238|83
1309704798439|549755815239|60
1309704799439|549755815240|60
1309704800439|549755815241|60
1309704801439|549755815242|60
1309704802439|549755815243|60
1309704803439|549755815244|60
1309704804439|549755815245|60
1309704805439|549755815246|60
1309704806439|549755815247|60
1309704807439|549755815248|60
1309704808439|549755815249|60
1309704809439|549755815250|60
1309704810439|549755815251|60
1309704811439|549755815252|60
1349206298793|1099511629141|60
1349206299793|1099511629142|60
1349206300793|1099511629143|60
1349206301793|1099511629144|60
1349206303793|1099511629146|60
1349206304793|1099511629147|60
1318515933210|687194768732|60
1318515934210|687194768733|60
1318515935210|687194768734|60
1318515936210|687194768735|60
1318515937210|687194768736|60
1318515938210|687194768737|60
1318515939210|687194768738|60
1318515940210|687194768739|60
1318515941210|687194768740|60
1318515942210|687194768741|60
1349612487774|1099511629158|60
1349612488774|1099511629159|60
1349612489774|1099511629160|60
1349612490774|1099511629161|60
1349612491774|1099511629162|60
1349612492774|1099511629163|60
1321938249107|755914245484|60
1263987314894|1389|60
1263987315894|1390|60
1263987316894|1391|60
1263987317894|1392|60
1274800416946|137438954865|60
1274800417946|137438954866|60
1274800418946|137438954867|60
1274800419946|137438954868|60
1274800420946|137438954869|60
1274800421946|137438954870|60
1274800422946|137438954871|60
1274800423946|137438954872|60
1274800424946|137438954873|60
1274800425946|137438954874|60
1274800426946|137438954875|60
1274800427946|137438954876|60
1274800428946|137438954877|60
1274800429946|137438954878|60
1274800430946|137438954879|60
1274800431946|137438954880|60
1274800432946|137438954881|60
1330046081504|824633722242|60
1330046082504|824633722243|60
1330046083504|824633722244|60
1330046084504|824633722245|60
1330046085504|824633722246|60
1330046086504|824633722247|60
1330046088504|824633722249|60
1330046090504|824633722251|60
1330046091504|824633722252|60
1330046092504|824633722253|60
1330046093504|824633722254|60
1330046094504|824633722255|60
1330046095504|824633722256|60
1330046096504|824633722257|60
1330046097504|824633722258|60
1330046098504|824633722259|60
1330046099504|824633722260|60
1320275801506|687194768789|60
1320275802506|687194768790|60
1320275803506|687194768791|60
1320275804506|687194768792|60
1312076088651|618475292057|60
1312076089651|618475292058|60
1312076090651|618475292059|60
1312076091651|618475292060|60
1312076092651|618475292061|60
1312076093651|618475292062|60
1312076094651|618475292063|60
1312076095651|618475292064|60
1312076096651|618475292065|60
1312076097651|618475292066|60
1312076098651|618475292067|60
1312076099651|618475292068|60
1312076101651|618475292070|60
1312076102651|618475292071|60
1312076103651|618475292072|60
1275840408303|137438954921|60
1275840409303|137438954922|60
1275840410303|137438954923|60
1272633751601|68719478188|60
1272633752601|68719478189|60
1272633753601|68719478190|60
1272633755601|68719478192|60
1272633756601|68719478193|60
1272633757601|68719478194|60
1272633758601|68719478195|60
1272633759601|68719478196|60
1272633760601|68719478197|60
1272633761601|68719478198|60
1272633762601|68719478199|60
1327931502348|824633722297|60
1327931503348|824633722298|60
1327931504348|824633722299|60
1327931505348|824633722300|60
1327931506348|824633722301|60
1327931507348|824633722302|60
1327931508348|824633722303|60
1327931509348|824633722304|60
1327931510348|824633722305|60
1327931511348|824633722306|60
1327931512348|824633722307|60
1327931513348|824633722308|60
1327931514348|824633722309|60
1327931515348|824633722310|60
1327931516348|824633722311|60
1282923055460|206158431688|60
1282923056460|206158431689|60
1282923057460|206158431690|60
1282923058460|206158431691|60
1282923059460|206158431692|60
1282923060460|206158431693|60
1282923061460|206158431694|60
1282923062460|206158431695|60
1282923063460|206158431696|60
1282923064460|206158431697|60
1282923065460|206158431698|60
1282923066460|206158431699|60
1282923067460|206158431700|60
1282923068460|206158431701|60
1282923069460|206158431702|60
1343541665724|1030792152535|60
1343541666724|1030792152536|60
1343541667724|1030792152537|60
1343541668724|1030792152538|60
1343541669724|1030792152539|60
1343541670724|1030792152540|60
1343541671724|1030792152541|60
1343541672724|1030792152542|60
1343541673724|1030792152543|60
1343541674724|1030792152544|60
1343541675724|1030792152545|60
1343541677724|1030792152547|60
1343541678724|1030792152548|60
1343541679724|1030792152549|60
1343541680724|1030792152550|60
1343541681724|1030792152551|60
1343541682724|1030792152552|60
1283598105029|274877908457|83
1283598106029|274877908458|60
1283598107029|274877908459|60
1283598108029|274877908460|60
1283598109029|274877908461|60
1283598110029|274877908462|60
1283598111029|274877908463|60
1283598112029|274877908464|60
1283598113029|274877908465|60
1283598114029|274877908466|60
1283598115029|274877908467|60
1283598116029|274877908468|60
1283598117029|274877908469|60
1317077924307|687194768886|60
1317077925307|687194768887|60
1317077926307|687194768888|60
1317077927307|687194768889|60
1317077929307|687194768891|60
1317077930307|687194768892|60
1317077931307|687194768893|60
1317077932307|687194768894|60
1317077933307|687194768895|60
1317077934307|687194768896|60
1317077935307|687194768897|60
1317077936307|687194768898|60
1317077937307|687194768899|60
1317077938307|687194768900|60
1317077939307|687194768901|60
1317077940307|687194768902|60
1317077941307|687194768903|60
1317077942307|687194768904|60
1317077943307|687194768905|60
1299191397685|412316861962|60
1299191398685|412316861963|60
1299191399685|412316861964|60
1299191400685|412316861965|60
1299191401685|412316861966|60
1299191402685|412316861967|60
1299191403685|412316861968|96
1299191404685|412316861969|60
1299191405685|412316861970|60
1299191407685|412316861972|60
1303567307296|481036338709|60
1303567308296|481036338710|60
1303567309296|481036338711|60
1303567310296|481036338712|60
1303567311296|481036338713|60
1303567312296|481036338714|60
1303567313296|481036338715|60
1303567314296|481036338716|60
1303567315296|481036338717|60
1303567316296|481036338718|64
1303567317296|481036338719|60
1303567318296|481036338720|50
1303567319296|481036338721|60
1303567320296|481036338722|60
1303567321296|481036338723|60
1303567322296|481036338724|60
1303567323296|481036338725|60
1330595013101|824633722406|60
1330595014101|824633722407|60
1330595015101|824633722408|60
1330595016101|824633722409|60
1330595017101|824633722410|60
1330595018101|824633722411|3
1330595019101|824633722412|60
1330595020101|824633722413|60
1330595021101|824633722414|60
1330595022101|824633722415|60
1330595023101|824633722416|60
1330595024101|824633722417|60
1330595025101|824633722418|60
1330595026101|824633722419|60
1330595027101|824633722420|60
1289420975866|343597385270|60
1289420976866|343597385271|60
1289420977866|343597385272|60
1289420978866|343597385273|60
1289420979866|343597385274|60
1289420980866|343597385275|60
1289420981866|343597385276|60
1278329495919|206158431805|60
1278329496919|206158431806|60
1278329497919|206158431807|60
1278329498919|206158431808|60
1278329499919|206158431809|60
1278329500919|206158431810|60
1278329501919|206158431811|60
1278329502919|206158431812|60
1278329503919|206158431813|60
1278329504919|206158431814|60
1278329505919|206158431815|60
1278329506919|206158431816|60
1278329507919|206158431817|60
1350849650273|1099511629386|60
1350849651273|1099511629387|60
1350849652273|1099511629388|60
1350849653273|1099511629389|60
1350849654273|1099511629390|60
1350849655273|1099511629391|60
1326426372907|824633722448|60
1326426373907|824633722449|60
1326426374907|824633722450|60
1326426375907|824633722451|60
1326426376907|824633722452|60
1326426377907|824633722453|60
1326426378907|824633722454|60
1326426379907|824633722455|60
1326426380907|824633722456|60
1326426381907|824633722457|60
1326426382907|824633722458|60
1302674707650|481036338779|60
1302674709650|481036338781|60
1302674710650|481036338782|60
1302674711650|481036338783|60
1302674712650|481036338784|60
1302674713650|481036338785|60
1302674714650|481036338786|60
1302674715650|481036338787|60
1302674716650|481036338788|60
1302674717650|481036338789|60
1302674718650|481036338790|60
1302674719650|481036338791|60
1302674720650|481036338792|60
1302674721650|481036338793|60
1302674722650|481036338794|60
1302674723650|481036338795|60
1325420064225|755914245740|60
1325420065225|755914245741|60
1325420066225|755914245742|60
1325420067225|755914245743|60
1325420068225|755914245744|60
1325420069225|755914245745|60
1346399329536|1030792152690|60
1346399330536|1030792152691|60
1346399331536|1030792152692|60
1346399332536|1030792152693|60
1346399333536|1030792152694|60
1346399334536|1030792152695|60
1346399335536|1030792152696|60
1346399336536|1030792152697|60
1274201801131|137438955130|60
1274201802131|137438955131|60
1274201803131|137438955132|60
1274201804131|137438955133|60
1274201805131|137438955134|60
1274201806131|137438955135|60
1274201807131|137438955136|60
1274201808131|137438955137|60
1274201809131|137438955138|60
1274201810131|137438955139|60
1274201811131|137438955140|60
1274201812131|137438955141|60
1315826618805|687194769030|53
1289199221861|343597385367|53
1291298591557|343597385384|53
1267101591030|1722|53
1267109376030|1740|53
1291236941557|343597385438|53
1309421534567|549755815664|53
1309421535567|549755815665|53
1309421537567|549755815667|53
1309421538567|549755815668|53
1309421539567|549755815669|53
1309421540567|549755815670|53
1309421541567|549755815671|53
1309421542567|549755815672|53
1309421543567|549755815673|53
1309421544567|549755815674|53
1309421545567|549755815675|53
1339493937635|962072676092|53
1339493938635|962072676093|53
1339493939635|962072676094|53
1339493940635|962072676095|53
1339493941635|962072676096|53
1339493942635|962072676097|53
1321760514638|755914245890|53
1321760515638|755914245891|53
1321760516638|755914245892|53
1287660168788|274877908741|53
1287660169788|274877908742|53
1287660170788|274877908743|53
1287660172788|274877908745|53
1287660174788|274877908747|53
1287660175788|274877908748|53
1287660176788|274877908749|53
1287660177788|274877908750|53
1287660178788|274877908751|53
1287660179788|274877908752|53
1287660180788|274877908753|53
1287660181788|274877908754|53
1287660182788|274877908755|53
1287660183788|274877908756|53
1348372936991|1099511629605|53
1348372937991|1099511629606|53
1348372938991|1099511629607|53
1348372939991|1099511629608|53
1348372941991|1099511629610|53
1321877730250|755914245931|53
1321877731250|755914245932|53
1321877732250|755914245933|53
1321877733250|755914245934|53
1321877734250|755914245935|53
1321877735250|755914245936|53
1321877736250|755914245937|53
1321877737250|755914245938|53
1321877738250|755914245939|53
1321877739250|755914245940|53
1321877740250|755914245941|53
1321877741250|755914245942|53
1321877743250|755914245944|53
1321877744250|755914245945|53
1321877745250|755914245946|53
1321877746250|755914245947|53
1321877747250|755914245948|53
1321877748250|755914245949|53
1321877749250|755914245950|53
1335571939891|893353199423|53
1281164406124|206158432064|53
1281164407124|206158432065|53
1281164408124|206158432066|53
1281164409124|206158432067|53
1287695872895|274877908804|53
1287695873895|274877908805|53
1287695874895|274877908806|53
1287695876895|274877908808|53
1287695877895|274877908809|53
1287695878895|274877908810|53
1314576226278|618475292491|53
1314576227278|618475292492|53
1277702641717|137438955341|53
1277702642717|137438955342|53
1277702643717|137438955343|53
1277702644717|137438955344|53
1277702645717|137438955345|53
1277702646717|137438955346|53
1277702647717|137438955347|53
1277702648717|137438955348|53
1277702649717|137438955349|53
1277702650717|137438955350|53
1277702651717|137438955351|53
1277702652717|137438955352|53
1277702653717|137438955353|53
1277702655717|137438955355|59
1305086060107|549755815772|53
1305086061107|549755815773|53
1305086062107|549755815774|53
1305086063107|549755815775|53
1305086064107|549755815776|53
1305086065107|549755815777|53
1305086066107|549755815778|94
1305086067107|549755815779|57
1305086068107|549755815780|53
1305086069107|549755815781|63
1305086070107|549755815782|53
1305086071107|549755815783|41
1305086072107|549755815784|53
1305086073107|549755815785|53
1305086074107|549755815786|53
1305086075107|549755815787|53
1305086076107|549755815788|53
1305086077107|549755815789|53
1305086078107|549755815790|53
1305086079107|549755815791|53
1326134039083|824633722736|53
1326134041083|824633722738|53
1326134042083|824633722739|53
1326134043083|824633722740|53
1326134044083|824633722741|53
1326134045083|824633722742|53
1326134047083|824633722744|53
1326134048083|824633722745|53
1326134049083|824633722746|53
1326134050083|824633722747|53
1326134051083|824633722748|53
1326134052083|824633722749|53
1326134053083|824633722750|53
1326134054083|824633722751|53
1326134055083|824633722752|53
1326134056083|824633722753|53
1325487982655|755914246018|53
1325487983655|755914246019|53
1325487984655|755914246020|53
1325487985655|755914246021|53
1325487986655|755914246022|53
1325487987655|755914246023|23
1325487988655|755914246024|53
1325487989655|755914246025|53
1325487990655|755914246026|53
1325487991655|755914246027|53
1350920832564|1099511629708|53
1350920833564|1099511629709|53
1350920834564|1099511629710|53
1350920835564|1099511629711|40
1350920836564|1099511629712|53
1350920837564|1099511629713|53
1350920838564|1099511629714|53
1273952950901|137438955411|53
1273952951901|137438955412|53
1273952952901|137438955413|53
1273952953901|137438955414|53
1273952954901|137438955415|53
1273952955901|137438955416|53
1273952956901|137438955417|53
1273952957901|137438955418|53
1273952958901|137438955419|30
1273952959901|137438955420|53
1291801801796|343597385636|53
1291801803796|343597385638|53
1284796393964|274877908922|53
1284796394964|274877908923|53
1284796396964|274877908925|53
1284796397964|274877908926|53
1284796398964|274877908927|53
1284796399964|274877908928|53
1284796400964|274877908929|53
1284796401964|274877908930|53
1284796402964|274877908931|53
1284796403964|274877908932|53
1284796404964|274877908933|53
1284796405964|274877908934|53
1275659245126|137438955463|53
1275659246126|137438955464|53
1275659247126|137438955465|53
1275659248126|137438955466|53
1275659249126|137438955467|53
1275659250126|137438955468|53
1275659251126|137438955469|53
1317370742529|687194769359|53
1317370743529|687194769360|53
1317370744529|687194769361|53
1313697130679|618475292626|53
1313697131679|618475292627|53
1313697132679|618475292628|53
1313697133679|618475292629|53
1313697134679|618475292630|53
1313697136679|618475292632|53
1313697137679|618475292633|53
1313697138679|618475292634|53
1313697139679|618475292635|53
1313697140679|618475292636|53
1313697141679|618475292637|53
1313697142679|618475292638|53
1313697143679|618475292639|53
1313697144679|618475292640|53
1313697145679|618475292641|53
1311874199322|618475292643|53
1311874200322|618475292644|53
1311874202322|618475292646|53
1311874203322|618475292647|53
1311874204322|618475292648|53
1311874206322|618475292650|53
1311874207322|618475292651|53
1311874208322|618475292652|53
1311874209322|618475292653|53
1311874210322|618475292654|53
1311874211322|618475292655|53
1311874212322|618475292656|53
1311874213322|618475292657|53
1311874214322|618475292658|53
1311874215322|618475292659|53
1311874216322|618475292660|53
1311874217322|618475292661|53
1311874218322|618475292662|53
1302166866283|481036339191|53
1302166867283|481036339192|53
1289815680234|343597385722|53
1289815681234|343597385723|53
1289815682234|343597385724|53
1289815684234|343597385726|53
1289815685234|343597385727|53
1289815686234|343597385728|53
1289815687234|343597385729|53
1304061006866|481036339202|53
1304061007866|481036339203|53
1304061008866|481036339204|53
1304061009866|481036339205|53
1304061010866|481036339206|53
1304061011866|481036339207|53
1304061012866|481036339208|53
